7896181902553##DISGREN                                      300MCG CX 20 CAP##37,92 
7896181903376##EUPRESSIN                                    10MG CX 30 COMP##22,88 
7896181916390##EUPRESSIN                                    10MG CX 7 COMP##4,95 
7896181901457##EUPRESSIN                                    2,5MG CX 30 COMP##16,39 
7896181903451##EUPRESSIN                                    20MG CX 30 COMP##43,61 
7896181903024##EUPRESSIN                                    5MG CX 30 COMP##16,39 
7896181916383##EUPRESSIN                                    5MG CX 7 COMP##3,54 
7896181903840##EUPRESSIN H                                  10+25MG CX 30 COMP##26,93 
7896181917755##EUPRESSIN H                                  10+25MG CX 7 COMP##5,59 
7896181902720##EUPRESSIN H                                  20+12,5MG CX 30 COMP##42,89 
7894916505215##EUPROSTATIN                                  2MG CX 30 COMP##19,59 
7891721014239##EUTHYROX                                     100MCG CART 50 COMP##21,45 
7891721014987##EUTHYROX                                     112MCG CART 50 COMP##24,18 
7891721014086##EUTHYROX                                     125MCG CART 50 COMP##23,98 
7891721015007##EUTHYROX                                     137MCG CX 50 COMP##25,52 
7891721014130##EUTHYROX                                     150MCG CART 50 COMP##25,73 
7891721014185##EUTHYROX                                     175MCG CART 50 COMP##28,93 
7891721014796##EUTHYROX                                     200MCG CART 50 COMP##31,85 
7891721014642##EUTHYROX                                     25MCG CART 50 COMP##16,41 
7891721014697##EUTHYROX                                     50MCG CART 50 COMP##18,80 
7891721014741##EUTHYROX                                     75MCG CART 50 COMP##20,76 
7891721014963##EUTHYROX                                     88MCG CART 50 COMP##18,98 
7891317431396##EUTONIS                                      1MG CX 20 COMP##12,29 
7891317431402##EUTONIS                                      2MG CX 20 COMP##14,61 
7891317431419##EUTONIS                                      4MG CX 20 COMP##22,04 
7895858007744##EUTROPIN                                     15UI PO LIOF 1FA+DIL X 1,5 ML##446,48 
7898935466038##EUTROPIN                                     15UI PO LIOF SOL 1FA+DIL X 1,5ML##453,90 
7895858007768##EUTROPIN                                     4UI PO LIOF 5FA+DIL X 1ML##704,41 
7898935466014##EUTROPIN                                     4UI PO LIOF SOL 1FA+DIL X 1ML##139,57 
7898935466021##EUTROPIN                                     4UI PO LIOF SOL 5FA+DIL X 1ML##697,86 
7891045000987##EVANOR                                       0,25+0,05MG CX 21 COMP##5,22 
7891045000895##EVANOR                                       0,25+0,05MG CX 63 COMP##14,61 
7501082224207##EVISTA                                       60MG CX 14 COMP##77,95 
7501082224207##EVISTA                                       60MG CX 14 COMP REV##77,95 
7501082224214##EVISTA                                       60MG CX 28 COMP##155,29 
7501082224214##EVISTA                                       60MG CX 28 COMP REV##155,29 
7896382705335##EVISTA                                       60MG CX 7 COMP REV##38,90 
7892953000779##EVOCANIL                                     100MG CX 30 COMP##36,23 
7892953000526##EVOCANIL                                     200MG CX 20 COMP##35,46 
7898916127262##EVOCARB                                      150MG PO LIOF INJ CX 1FA HOSP##463,86 
7898916127248##EVOCARB                                      50MG PO LIOF INJ CX 1FA HOSP##154,61 
7898916127453##EVOCICLO                                     1G PO LIOF INJ FA##40,35 
7898916127583##EVOCLASS                                     20 MG PO LIOF SOL INJ CT FA VD AMB X 10 ML##80,54 
7898916127293##EVODAZIN                                     100MG PO LIOF INJ CX 1FA X 250MG HOSP##56,94 
7898916127316##EVODAZIN                                     200MG PO LIOF INJ CX 1FA X 500M##118,40 
7898916127620##EVOFLUBINA                                   50MG PO LIOF SOL INJ CT 5 FA VD TRANS X 20ML##3.474,12 
7898916127040##EVOLOX                                       1G PO LIOF INJ 1FA X 1,5##100,59 
7898919127576##EVOMID                                       10MG PO LIOF INJ FA##1.059,29 
7898919127569##EVOMID                                       5MG PO LIOF INJ FA##559,17 
7898916127392##EVOMIXAN                                     20MG SOL INJ 1FA X 10ML HOSP##1.067,97 
7898916127118##EVOPOSDO                                     20MG SOL INJ 1AMP X 5ML HOSP##57,93 
7898916127415##EVORUBICIN                                   10MG PO LIOF INJ CX 1FA##43,55 
7898916127439##EVORUBICIN                                   50MG PO LIOF INJ CX 1FA##180,95 
7898916127095##EVOTABINA                                    10MG SOL INJ CX 1FA X 1ML##201,67 
7898916127491##EVOTABINA                                    50MG CX 1AMP X 5ML##917,87 
7898916127156##EVOTAXEL                                     100MG SOL INJ 1AMP X 16,7ML HOSP##1.866,21 
7898916127187##EVOTAXEL                                     150MG INJ 1AMP X 25ML HOSP##2.998,13 
7898916127217##EVOTAXEL                                     300MG SOL INJ FA 50ML HOSP##5.778,50 
7898916127125##EVOTAXEL                                     30MG SOL INJ 1FA X 5ML  HOSP##575,15 
7898916127019##EVOTECAN                                     4MG PO LIOF INJ CX 1FA##1.105,91 
7898916127231##EVOTERIN                                     20MG SOL INJ 1AMP X 2ML HOSP##651,44 
7898916127224##EVOTERIN                                     20MG SOL INJ 1AMP X 5ML HOSP##1.605,08 
7898916127347##EVOXALI                                      100MG PO LIOF INJ 1FA HOSP##3.551,93 
7898916127330##EVOXALI                                      50MG PO LIOF INJ 1FA X 500MG HOSP##1.680,50 
7898916127545##EVOZAR                                       1G PO LIOF INJ 1FA HOSP##764,19 
7898916127538##EVOZAR                                       200MG PO LIOF INJ CX 1FA##153,57 
7896212420018##EVRA                                         0,60+6,00MG CX 3 SACHES X 1 ADES##59,23 
7896112190783##EXCALV                                       1MG CX 30 COMP REV##39,73 
7896261012042##EXCEDRIN                                     500+65MG CX 20 COMP REV##22,82 
7898060138336##EXCIVIT                                      CX 30 COMP REV##52,43 
7898537890132##EXCIVIT AZ                                   FR 30 CAP GEL##52,53 
7898537890224##EXCIVIT AZ                                   FR 45 CAP GEL##63,03 
7898537890286##EXCIVIT AZ+OMEGA 3                           FR 30 CAP GEL##48,90 
7898537890262##EXCIVIT AZ+OMEGA 3                           FR 60 CAP GEL##94,55 
7898537890194##EXCIVIT D                                    GTS X 30ML##34,58 
7898537890170##EXCIVIT KIDS                                 SOL FR 120ML##27,66 
7897655400155##EXELMIN                                      5+13,33MG/ML SUS ORAL FR 30ML##8,96 
7897655400148##EXELMIN                                      75+200MG CX 6 COMP##14,38 
7896261007741##EXELON                                       1,5MG CX 14 CAP##66,29 
7896261007758##EXELON                                       1,5MG CX 28 CAP##139,23 
7896261004580##EXELON                                       2MG SOL ORAL FR 120ML##402,54 
7896261008816##EXELON                                       2MG SOL ORAL FR 50ML##167,73 
7896261007772##EXELON                                       3MG CX 28 CAP##159,85 
7896261007765##EXELON                                       3MG CX 56 CAP##302,21 
7896261007789##EXELON                                       4,5MG CX 28 CAP##181,31 
7896261007796##EXELON                                       6MG CX 28 CAP##185,02 
7896261013759##EXELON PATCH                                 18MG SACH 15 ADES##152,82 
7896261013766##EXELON PATCH                                 18MG SACH 30 ADES##396,32 
7896261013780##EXELON PATCH                                 27MG SACH 15 ADES##198,15 
7896261013797##EXELON PATCH                                 27MG SACH 30 ADES##396,32 
7896261013735##EXELON PATCH                                 9MG SACH 30 ADES##339,99 
7896261013711##EXELON PATCH                                 9MG SACH 7 ADES##79,34 
7896261015609##EXFORGE HCT                                  160+12,5+10MG CX 28 COM REV##101,14 
7896261018082##EXFORGE HCT                                  160+12,5+5MG CX 14 COM REV##42,96 
7896261015586##EXFORGE HCT                                  160+12,5+5MG CX 28 COM REV##85,92 
7896261015616##EXFORGE HCT                                  160+25+10MG CX 28 COM REV##101,14 
7896261015593##EXFORGE HCT                                  160+25+5MG CX 28 COM REV##85,92 
7896261018099##EXFORGE HCT                                  320+25+10MG CX 14 COM REV##50,57 
7896261015623##EXFORGE HCT                                  320+25+10MG CX 28 COM REV##101,14 
7898040323486##EXIMIA                                       FIRMALIZE C/ 30 SACHES##58,96 
7898040323219##EXIMIA                                       SUAVIZE FR 120 CAP##70,75 
7898040322786##EXIMIA FORTALIZE                             FR 30 COMP##79,97 
7898040322816##EXIMIA TEMPORIZE                             FR 30 CAP##79,97 
7897322700366##EXIT                                         400+25MG CX 20 COMP##14,22 
7896261011502##EXJADE                                       125MG CX 28 COMP##680,90 
7896261011526##EXJADE                                       250MG CX 28 COMP##1.361,81 
7896261011540##EXJADE                                       500MG CX 28 COMP##2.723,64 
7897572000940##EXLUTON                                      0,5MG CX 28 COMP##9,33 
7896658010156##EXODUS                                       10MG CX 15 COMP REV##26,91 
7896658010170##EXODUS                                       10MG CX 30 COMP REV##53,85 
7896658010187##EXODUS                                       10MG CX 60 COMP REV##100,16 
7896658002502##EXODUS                                       10MG CX 7 COMP REV##16,75 
7896658020575##EXODUS                                       15MG CX 30 COMP REV##64,62 
7896658020537##EXODUS                                       15MG CX 7 COMP REV##15,08 
7896658018084##EXODUS                                       20MG CX 30 COMP REV##96,94 
7896658018046##EXODUS                                       20MG CX 7 COMP REV##21,27 
7896658018121##EXODUS                                       20MG SOL OR GTS 15ML##53,85 
7896004812168##EXPEC                                        XPE FR 120ML##19,24 
7896004731674##EXPECTAMIN                                   0,4+4+20MG XPE FR 120ML##16,55 
7894164004898##EXPECTOVIC                                   13,33MG/ML XPE 120ML##15,30 
7894164004782##EXPECTOVIC MEL                               16MG/ML XPE FR 120ML+COP##16,58 
7893736003802##EXPECTRAT                                    XPE FR 150ML##19,42 
7891058012861##EXPOLID                                      10MG CX 15 COMP REV##51,77 
7891058012885##EXPOLID                                      10MG CX 30 COMP REV##103,51 
7891058012731##EXPOLID                                      2,5MG CX 15 COMP REV##17,53 
7891058012755##EXPOLID                                      2,5MG CX 30 COMP REV##35,04 
7891058012793##EXPOLID                                      5MG CX 15 COMP REV##25,88 
7891058012816##EXPOLID                                      5MG CX 30 COMP REV##51,75 
7896261020122##EXTAVIA                                      9,6MUI PO 15 FA+15 SER 2,25ML X 1,2ML##4.793,31 
7896261018204##EXTAVIA                                      9,6MUI PO LIOF INJ 15FA+15SER X 1,2ML##4.793,31 
7891106907439##EYLIA                                        40MG/ML SOL INJ 1FA X 0,278ML+AGU##3.183,91 
7897337701549##EZETROL                                      10MG CX 10 COMP##32,57 
7897337704120##EZETROL                                      10MG CX 30 COMP##97,85 
7897076918246##EZOBLOC                                      20MG CX 14 COMP REV##24,69 
7897076918253##EZOBLOC                                      20MG CX 28 COMP REV##49,37 
7897076918291##EZOBLOC                                      40MG CX 14 COMP REV##51,61 
7897076918307##EZOBLOC                                      40MG CX 28 COMP REV##103,22 
7896112140894##EZOPEN                                       200MG CX 25 COMP##64,11 
7896112140702##EZOPEN                                       50MG CREME DERM BG 10##16,92 
7896112192084##EZOPEN                                       50MG/G CREME DERM BG 10##16,92 
7898328480115##FABRAZYME                                    35MG PO LIOF INJ X 20ML##10.265,79 
7898328480122##FABRAZYME                                    5MG PO LIOF INJ X 5ML##1.466,53 
7896658006838##FACTIVE                                      320MG CX 5 COMP REV##66,08 
7896658006845##FACTIVE                                      320MG CX 7 COMP REV##108,44 
7896422500128##FACYL 500                                    500MG CX 4 COMP##7,91 
7896422505895##FACYL 500                                    500MG CX 8 COMP##12,93 
7896422502016##FACYL M                                      CREME VAG BG 80G+14APLIC##26,90 
7891317466824##FAGICO                                       4MG SOL ORAL FR GTS 20ML##12,36 
7897595900883##FALMONOX                                     500MG CX 3 COMP##11,08 
7896714203256##FAMOTID                                      20MG CX 10 COMP##9,93 
7896714203249##FAMOTID                                      40MG CX 10 COMP##17,63 
7896658000379##FAMOX                                        20MG CX 10 COMP##13,61 
7896658000393##FAMOX                                        40MG CX 10 COMP##25,87 
7898926573103##FAMPYRA                                      10MG FR 28 COMP REV##465,88 
7898926573042##FAMPYRA                                      10MG FR 56 COMP REV##931,97 
7896014675005##FANCLOMAX                                    125MG CX 10 COMP##41,42 
7896014675401##FANCLOMAX                                    250MG CX 21 COMP##209,40 
7896014675203##FANCLOMAX                                    250MG CX 7 COMP##71,43 
7896226501512##FANSIDAR                                     50 COMP##12,16 
7897322700434##FARLAC                                       667MG XPE FR 120ML##23,89 
7891268102604##FARLUTAL                                     10MG CX 10 COMP##12,47 
7891268102628##FARLUTAL                                     10MG CX 14 COMP##18,83 
7898216362325##FARMAFLAN                                    11,6 MG/G GEL CT BG AL X 60 ##9,36 
7898216365289##FARMAZOL                                     150MG CAP DURA CT BL AL PLAS TRANS X 500##2.443,87 
7898216360130##FARMAZOL                                     150MG CX 1 CAP##8,44 
7898216360826##FARMICINA                                    600MG CX 1AMP X 2ML##8,05 
7898216361004##FARMICINA                                    600MG/ML SOL INJ 50AMP X 1ML HOSP##343,38 
7891268102819##FARMORUBICINA CS                             10MG SOL INJ CX 1FA##80,13 
7891268102826##FARMORUBICINA CS                             200MG SOL INJ CX 1FA X 100ML##1.203,00 
7891268102840##FARMORUBICINA CS                             50MG SOL INJ CX 1FA X 25ML##334,15 
7891268102871##FARMORUBICINA RD                             10MG PO LIOF INJ CX 1FA##71,68 
7891268102888##FARMORUBICINA RD                             50MG PO LIOF INJ CX 1FA##304,96 
7898216360734##FARMOXICAM                                   20MG CX 15 CAP##6,46 
7898942324406##FASCIA                                       CX 30 SACHES X 11##104,24 
7896206402358##FASLODEX                                     50MG SOL INJ SER PREENCH 5ML##2.920,79 
7896206404437##FASLODEX                                     50MG/ML SOL INJ 2SER X 5ML+2AGU##5.841,58 
7896676401707##FASTFEN                                      50MCG CX 10AMP X 5ML EMB HOSP##754,88 
7896676401479##FASTFEN                                      50MCG CX 25AMP X 1ML EMB HOSP##405,85 
7896676406986##FASTFEN                                      5MCG/ML 30 ESTJ 2ML##209,60 
7896676402049##FASTFEN                                      5UG/ML CX 25AMP X 2ML EMB HOSP##174,66 
7897595902740##FASTURTEC                                    1,5MG PO LIOF CX 3 FA X 1ML##1.110,72 
7898146825518##FATIG                                        CX 100 COMP##72,66 
7898146825471##FATIG                                        CX 30 COMP##21,87 
7896094203006##FAULBLASTINA                                 1MG/ML SOL INJ 5FA X 10ML##313,27 
7896094202887##FAULDACAR                                    200MG PO LIOF INJ FA##154,38 
7896094202894##FAULDACAR                                    600MG PO LIOF INJ FA##456,01 
7896094202832##FAULDCARBO                                   150MG/ML SOL INJ FA X 15ML##557,09 
7896094202849##FAULDCARBO                                   450MG/ML SOL INJ FA X 45ML##1.443,44 
7896094202825##FAULDCARBO                                   50MG/ML SOL INJ FA X 5ML##275,77 
7896094207127##FAULDCISPLA                                  100MG/ML SOL INJ FA X 100ML##493,17 
7896094207103##FAULDCISPLA                                  10MG/ML SOL INJ FA X 10ML##54,45 
7896094207110##FAULDCISPLA                                  50MG/ML SOL INJ FA X 50ML##254,75 
7896094202979##FAULDCITA                                    1G SOL INJ FA X 10ML##111,29 
7896094202962##FAULDCITA                                    500MG/ML SOL INJ 5FA X 5ML##672,17 
7896094207097##FAULDFLUOR                                   2,5G/ML SOL INJ FA X 50ML##107,43 
7896094207080##FAULDFLUOR                                   500MG/ML SOL INJ 5FA X 10ML##109,60 
7896094207172##FAULDLEUCO                                   300MG/ML SOL INJ FA X 30ML##498,43 
7896094207165##FAULDLEUCO                                   50MG/ML SOL INJ FA X 5ML##93,02 
7896094207073##FAULDMETRO                                   100MG/ML SOL INJ FA X 50ML##2.473,09 
7896094207066##FAULDMETRO                                   1G/ML SOL INJ FA X 10 ML##492,17 
7896094207059##FAULDMETRO                                   500MG/ML SOL INJ FA X 20 ML##246,07 
7896094202917##FAULDMETRO                                   50MG/ML SOL INJ 5FA X 2ML##166,78 
7896094202856##FAULDOXO                                     10MG/ML SOL INJ FA X 5ML##79,77 
7896094202863##FAULDOXO                                     50MG/ML SOL INJ FA X 25ML##335,06 
7896094207158##FAULDPAMI                                    90MG/ML SOL INJ FA X 10ML##962,62 
7896094208483##FAULDVINCRI                                  1MG /1ML INJ 5FA##190,42 
7896094202870##FAULDVINCRI                                  1MG/ML SOL INJ 5FA X 1ML##179,06 
7897595604293##FAXIMIN                                      1500MG X 15 SACHES X 4##56,40 
7898208147299##FAZOLIX                                      1G PO SOL INJ CX 50 AMP HOSP##350,69 
7896014685455##FAZOLON                                      1000MG PO INJ CX 100 FA VD INC##999,17 
7896014685417##FAZOLON                                      1000MG PO INJ CX 20 FA VD INC X 20 AMP X 10ML##209,03 
7896014685424##FAZOLON                                      1000MG PO INJ CX 20 FA VD X 20 AMP PLAS 10ML##199,83 
7896014685431##FAZOLON                                      1000MG PO INJ CX 20FA##199,83 
7896014685448##FAZOLON                                      1000MG PO INJ CX 50 FA VD INC##499,59 
7896422520287##FEBSEN                                       100MG/ML SUS OR FR GTS 20ML##18,81 
7896422520249##FEBSEN                                       50MG SUS OR FR GTS 30ML##13,57 
7896004722405##FEBUPEN                                      100MG 2BL X 6 COMP REV##17,87 
7899095200135##FELDANAX                                     20MG CX 15 CAP##6,96 
7891268144086##FELDENE                                      20MG CX 10 CAP##18,40 
7891268144048##FELDENE                                      20MG CX 10 COMP SOLUV##20,62 
7891268144123##FELDENE                                      20MG CX 10 SUP##20,01 
7891268144024##FELDENE                                      20MG CX 15 CAP##28,27 
7891268144055##FELDENE                                      40MG INJ IM CX 2 AMP##17,38 
7891268144109##FELDENE                                      GEL BG 30##22,36 
7891268110852##FELDENE SL                                   20MG 1 BL X 6 COMP##23,54 
7891268104028##FELDENE SL                                   20MG 5 BL X 2 COMP##39,22 
7898049793808##FELDRAN                                      10MG CX 15 CAP##6,07 
7898049793815##FELDRAN                                      20MG CX 15 CAP##7,52 
7891106905923##FEMIANE                                      0,075+0,020MG CX 21DR##25,31 
7898149932183##FEMIGESTROL                                  160MG CX 30 COMP##153,61 
7896658006401##FEMINA                                       150+20MCG CX 21 COMP##16,81 
7896658002212##FEMINA                                       150+20MCG CX 63 COMP##36,78 
7898942324918##FEMITABS                                     CX 40 COMP##63,11 
7896658015069##FEMME                                        FOLICO 5MG CX 30 COMP REV##13,55 
7896658001949##FEMME                                        FLUOR FR 30 COMP REV##37,06 
7896658001932##FEMME                                        FR 30 COMP REV##37,34 
7896255766357##FEMOSTON                                     1MG+1/10MG CX 1BL 14+14 COMP REV##41,85 
7896255766371##FEMOSTON CONTI                               1+5MG CX 28 COMP REV##41,85 
7898109241218##FEMURID                                      500MG+210UI FR 60 COMP REV##41,64 
7896112142126##FENAFLAN                                     10MG GEL BG 60##11,58 
7896112174844##FENAFLAN                                     11,6MG/G BG 30##4,70 
7896112140955##FENAFLAN                                     15MG SUS FR GTS 15ML##8,43 
7896112140962##FENAFLAN                                     50MG CX 10 COMP REV##3,75 
7896112135470##FENAFLAN                                     50MG CX 20 COMP REV##7,08 
7896112143512##FENAFLAN D                                   50MG CX 20 COMP DISP##8,37 
7898216360451##FENAFLEX - ODC                               35MG+300MG+50MG COM BL AMB X 144 EMB MULT##42,02 
7898216362516##FENAFLEX ODC                                 CX 200 COMP##58,37 
7896006208358##FENAREN                                      10MG/G GEL BG 60##10,69 
7896006254058##FENAREN                                      10MG/G GEL TOP BG 30##17,08 
7896006255956##FENAREN                                      15MG/ML  SUS ORAL FR GTS 10ML##10,57 
7896006258018##FENAREN                                      25MG/ML SOL INJ CX 50 AMP X 3ML EMB HOSP##97,11 
7896006254706##FENAREN                                      50MG CX 20 COMP REV##15,19 
7896006255505##FENAREN                                      50MG CX 500 COMP REV (EMB HOSP)##106,10 
7897917002509##FENATEC                                      FR CGT 20ML##3,80 
7896714205625##FENATIL                                      10MG CX 20 DR##8,39 
7896714211183##FENATIL                                      25MG CX 20 DR##17,79 
7896714222936##FENATIL                                      25MG CX 500 DRG EMB HOSP##543,87 
7897655402012##FENDICAL                                     1MG CX 15 COM REV##25,80 
7897655402029##FENDICAL                                     1MG CX 30 COMP REV##21,71 
7898909980201##FENDROP                                      78,60MCG/ML SOL INJ CX 1 AMP X 2ML##1,88 
7898909980232##FENDROP                                      78,60MCG/ML SOL INJ CX 1AMP X 10ML##5,09 
7898909980256##FENDROP                                      78,60MCG/ML SOL INJ CX 25AMP X 10ML##127,09 
7898909980249##FENDROP                                      78,60MCG/ML SOL INJ CX 5 AMP X 10ML##25,41 
7898909980218##FENDROP                                      78,60MCG/ML SOL INJ CX 5 AMP X 2ML##9,43 
7898909980225##FENDROP                                      78,60MCG/ML SOL INJ CX 50 X 2ML##94,33 
7896070600447##FENERGAN                                     25MG CX 20 COMP REV##8,01 
7896070600485##FENERGAN                                     25MG SOL INJ CX 25 AMP X 2ML##50,07 
7891058017446##FENERGAN                                     0,565+9,0MG/ML XPE FR 100ML PED##10,14 
7891058017439##FENERGAN                                     1,130+9,0MG/ML XPE FR 100ML ADU##10,29 
7897316805275##FENIDEX                                      FR 5ML##5,81 
7896676403787##FENILEFRIN                                   10MG CX 50AMP X 1ML EMB HOSP##366,55 
7897316801710##FENILEFRINA                                  10% SOL FR 5ML##6,88 
7896472504404##FENIRAX                                      0,4MG/ML SOL OR FR PET AMB X 120ML+ CP MED##8,18 
7896472504459##FENIRAX                                      10MG/G CREME 30##8,93 
7896472504480##FENIRAX                                      2,8MG/ML SOL OR FR 20ML##8,84 
7896676401158##FENITAL                                      5% CX 50AMP X 5ML EMB HOSP##135,00 
7896112114581##FENITOINA                                    100MG CX 100 COMP EMB HOSP##14,37 
7896112114574##FENITOINA                                    100MG CX 30 COMP##4,88 
7893736021806##FENITOINA                                    100MG CX 100 COMP##15,05 
7893736031805##FENITOINA                                    100MG CX 25 COMP##3,74 
7896006237198##FENITOINA SODICA                             50MG/ML SOL INJ CX 50AMP X 5ML EMB HOSP##101,13 
7896714216546##FENOBARBITAL                                 100MG CX 20 COMP##3,37 
7896112125365##FENOBARBITAL                                 100MG CX 30 COMP##5,02 
7896006237143##FENOBARBITAL                                 100MG CX 200 COMP EMB HOSP##33,55 
7896006237372##FENOBARBITAL                                 100MG CX 30 COMP##5,00 
7896006237167##FENOBARBITAL                                 40MG SOL OR FR GTS 20ML##3,43 
7896004726328##FENOBRATY                                    200MG CX 2BL X 15 CAP##49,04 
7896676403299##FENOCRIS                                     100MG CX 20BL X 10 COMP EMB HOSP##34,85 
7896676401295##FENOCRIS                                     200MG CX 50AMP X 2ML EMB HOSP##68,06 
7896676401332##FENOCRIS                                     40MG CX 10FR X 20ML EMB HOSP##36,95 
7896004723365##FENOFIBRATO                                  200MG CX 2BL X 15 CAP##51,46 
7896004723358##FENOFIBRATO                                  200MG CX 2BL X 15 CAP##51,46 
7894916145015##FENOFIBRATO                                  200MG CX 2BL X 15 CAP##49,16 
7895296194013##FENOFIBRATO                                  200MG CX 30 CAP##49,16 
7896112113805##FENOXIMETILPENICILINA POTASSICA              500MUI CX 12 COMP##8,58 
7896676407655##FENTANEST                                    0,05MG CX 25AMP X 5ML EMB HOSP##179,72 
7896676407662##FENTANEST                                    0,05MG CX 25FR X 10ML EMB HOSP##282,16 
7896676407679##FENTANEST                                    0,05MG CX 50EST X 2ML EMB HOSP##198,75 
7896676407686##FENTANEST                                    0,05MG SOL INJ CX 50AMP X 2ML EMB HOSP##198,75 
7896676409734##FENTANEST                                    25UG/H ADES TRANSDERMICO CX 10 SACOS EMB HOSP##401,06 
7896676409741##FENTANEST                                    75UG/H ADES TRANSDERMICO CX 10 SACOS EMB HOSP##1.056,58 
7896212429233##FENTANIL                                     50MCG INJ 5 AMP X 2ML HOSP##11,40 
7896212429257##FENTANIL                                     50MCG INJ 5 AMP X 5ML HOSP##23,25 
7896212429264##FENTANIL                                     50MCG/ML SOL INJ 5 AMP X 10ML HOSP##31,79 
7896658003981##FENTIZOL                                     0,02G/G CREME DERM BG 20##17,91 
7896658006883##FENTIZOL                                     0,02G/G CREME DERM BG 30##28,12 
7896658005091##FENTIZOL                                     0,02G/G CREME VAG BG 40G+7APLIC##20,61 
7896658001390##FENTIZOL                                     20MG/ML SOL DERM SPRAY FR 30ML##27,84 
7896658007309##FENTIZOL                                     600MG CX 1OVL+1APLIC##37,38 
7898505090236##FERANE 35                                    2+0,035MG CX 21 DR##14,81 
7898505092032##FERANE 35                                    2+0,035MG CX 63 DR##37,42 
7896006202226##FERID                                        5+250UI POM DERM BG 10##6,44 
7896641806841##FERINJECT                                    50MG/ML SOL INJ CX 1AMP X 10ML##365,77 
7896006209881##FERISEPT                                     10MG/ML SOL TOP FR 30ML+APLIC##7,85 
7896006209898##FERISEPT                                     SPRAY 45ML##11,77 
7891721017186##FERMATHRON                                   20MG SOL SER X 2ML##269,59 
7896317907117##FERRINI                                      150MG CX 30 COMP REV##14,36 
7896317907209##FERRINI                                      15MG/ML SOL OR FR X 100ML+DOS##19,17 
7896317907162##FERRINI                                      30MG/ML SOL OR FR X 30ML+CGT##17,26 
7896317903720##FERRINI FOLICO                               15+0,5MG/ML SOL OR FR X 100ML##24,89 
7896317903706##FERRINI FOLICO                               150+5MG CX 30 COMP REV##37,30 
7896317903713##FERRINI FOLICO                               30+0,2MG/ML SOL OR FR X 30ML##22,06 
7896672202438##FERRIPROX                                    500MG CX 100 COMP##1.079,25 
7896112144892##FERRONIL                                     40MG CX 50 COMP REV##9,83 
7898505090281##FERTNON                                      0,075+0,030MG CX 21 DR##21,15 
7896331701074##FERVEX                                       100MG/G PO ORAL 50 SACHE X 5##61,08 
7897595612595##FESTONE                                      10MG CX 30 COMP REV##29,74 
7897595612601##FESTONE                                      20MG CX 30 COMP REV##59,11 
7896685300268##FIBRACAP                                     PTE 250##51,16 
7896685300565##FIBRACAP                                     PTE 250G SB BANANA/MEL##52,55 
7896685300572##FIBRACAP                                     PTE 250G SB LARANJA##52,55 
7898937295049##FIBRALIVE                                    60% PO 10 SACH X 6G SB LARANJA##23,70 
7898937295018##FIBRALIVE                                    60% PO FR 175MG SB LARANJA##48,50 
7898014563726##FIBRAMULCIL                                  CX 10 SACHES##17,98 
7898014563733##FIBRAMULCIL                                  CX 30 SACHES##49,44 
7891268119008##FIBRASE                                      POM BG 10##20,47 
7891268119015##FIBRASE                                      POM BG 30##50,28 
7896676408294##FIBRINASE C/ CLORANFENICOL                   666U+1U/G+10MG/G POM DERM 10##17,17 
7896676408300##FIBRINASE C/ CLORANFENICOL                   BG 30##42,52 
7896676418446##FIBRINASE C/ CLORANFENICOL                   CX 10 BG X 10G EMB HOSP##171,79 
7896676418453##FIBRINASE C/ CLORANFENICOL                   CX 10 BG X 30G EMB HOSP##425,26 
7896023793516##FIBROTHIN 500                                60 CPS##47,77 
7896023756846##FIGATIL                                      DISPLAY 48FLAC X 10ML##127,64 
7896023700101##FIGATIL                                      CX 20 DR##17,23 
7896023700118##FIGATIL                                      LIQ FR 150ML##21,42 
7898100263172##FILDERME                                     1% FR 100ML##9,84 
7898100263165##FILDERME                                     1% FR 30ML##7,08 
7896181901365##FILGRASTIM                                   300MCG SOL INJ CX 5FA X 1ML##2.079,56 
7896181926412##FILGRASTIM                                   30MU+300MCG INJ 5FA CX1ML##2.079,56 
7896014684014##FILGRASTINE                                  300MCG SOL INJ 3 FA X 1ML##1.170,45 
7896014684236##FILGRASTINE                                  300MCG SOL INJ 3 SER PREENCH X 1ML##1.170,45 
7896014684137##FILGRASTINE                                  300MCG SOL INJ CT 3 AMP X 1ML##1.170,45 
7896014684359##FILGRASTINE                                  300MCG/ML SOL INJ 10SER-PREEX1ML+SIST.SEG.##3.901,51 
7896014684281##FILGRASTINE                                  600MCG SOL INJ CT 03 SER PREENCH X 0,5ML##1.221,75 
7896014684229##FILGRASTINE                                  300MCG 1SER PREE X1ML##390,15 
7896014684120##FILGRASTINE                                  300MCG INJ 1AMP X1ML##390,15 
7896014684007##FILGRASTINE                                  300MCG INJ 1FA X1ML##390,15 
7896014684144##FILGRASTINE                                  300MCG INJ 5AMP X1ML##1.950,77 
7896014684021##FILGRASTINE                                  300MCG INJ 5FA X1ML##1.950,77 
7896014684243##FILGRASTINE                                  300MCG INJ 5SER-PREE X1ML##1.950,77 
7896014684342##FILGRASTINE                                  300MCG INJ 5SER-PREE X1ML+SIST.SEG.##1.950,77 
7896014684373##FILGRASTINE                                  300MCG INJ SER-PREE X1ML+SIST.SEG.##407,24 
7896014684151##FILGRASTINE                                  300MCG SOL INJ 10AMP X1ML##3.901,56 
