7896023792113##OLEO DE LINHACA                              FR 30 COMP##23,72 
7897595602169##PANTOPAZ                                     20MG CX 7 COMP REV##10,85 
7897595602190##PANTOPAZ                                     40MG CX 14 COMP REV##26,26 
7897595603128##PANTOPAZ                                     40MG CX 28 COMP REV##45,00 
7897595602183##PANTOPAZ                                     40MG CX 7 COMP REV##14,73 
7898902274147##PANTOPRAZOL                                  20MG CX 14 COMP REV##23,07 
7896004705972##PANTOPRAZOL                                  20MG CX 14 COMP REV##23,08 
7898902274215##PANTOPRAZOL                                  20MG CX 28 COMP REV##44,15 
7896004705989##PANTOPRAZOL                                  20MG CX 28 COMP REV##44,15 
7898902274864##PANTOPRAZOL                                  20MG CX 280 COMP REV HOSP##653,34 
7896004708485##PANTOPRAZOL                                  20MG CX 2BL X 7 COMP REV##21,46 
7894916140430##PANTOPRAZOL                                  20MG CX 2BL X 7 COMP REV##21,46 
7896004708492##PANTOPRAZOL                                  20MG CX 4BL X 7 COMP REV##35,83 
7894916140423##PANTOPRAZOL                                  20MG CX 4BL X 7 COMP REV##35,83 
7896004749303##PANTOPRAZOL                                  20MG CX 6BL X 7 COMP REV##55,82 
7896004749310##PANTOPRAZOL                                  20MG CX 6BL X 7 COMP REV##53,04 
7894916148627##PANTOPRAZOL                                  20MG CX 6BL X 7 COMP REV##53,04 
7898902274055##PANTOPRAZOL                                  20MG CX 7 COMP REV##13,80 
7896004709642##PANTOPRAZOL                                  20MG CX 7 COMP REV##13,80 
7896004705996##PANTOPRAZOL                                  40MG CX 14 COMP##41,69 
7898902274154##PANTOPRAZOL                                  40MG CX 14 COMP REV##41,69 
7896004706009##PANTOPRAZOL                                  40MG CX 28 COMP##78,76 
7898902274222##PANTOPRAZOL                                  40MG CX 28 COMP REV##78,76 
7898902274871##PANTOPRAZOL                                  40MG CX 280  COMP REV HOSP##1.151,40 
7896004708515##PANTOPRAZOL                                  40MG CX 2BL X 7 COMP REV##35,83 
7894916140409##PANTOPRAZOL                                  40MG CX 2BL X 7 COMP REV##35,83 
7896004708508##PANTOPRAZOL                                  40MG CX 4BL X 7 COMP REV##71,68 
7894916140393##PANTOPRAZOL                                  40MG CX 4BL X 7 COMP REV##71,11 
7896004749358##PANTOPRAZOL                                  40MG CX 6BL X 7 COMP REV##100,00 
7896004749365##PANTOPRAZOL                                  40MG CX 6BL X 7 COMP REV##97,13 
7894916148634##PANTOPRAZOL                                  40MG CX 6BL X 7 COMP REV##97,13 
7896004709635##PANTOPRAZOL                                  40MG CX 7 COMP##22,84 
7898902274062##PANTOPRAZOL                                  40MG CX 7 COMP REV##22,82 
7895296238014##PANTOPRAZOL                                  20MG 6BL X 7 COMP REV##53,04 
7898216361885##PANTOPRAZOL                                  20MG CX 14 COMP REV##20,22 
7898216361878##PANTOPRAZOL                                  20MG CX 28 COMP REV##36,74 
7895296199032##PANTOPRAZOL                                  20MG CX 2BL X 7 COMP REV##21,46 
7895296199025##PANTOPRAZOL                                  20MG CX 4BL X 7 COMP REV##35,83 
7895296238021##PANTOPRAZOL                                  40MG 6BL X 7 COMP REV##97,13 
7897076913302##PANTOPRAZOL                                  40MG CX 14 COMP##31,39 
7898216361861##PANTOPRAZOL                                  40MG CX 14 COMP REV##27,13 
7897076913319##PANTOPRAZOL                                  40MG CX 28 COMP##61,72 
7898216361854##PANTOPRAZOL                                  40MG CX 28 COMP REV##47,75 
7895296199018##PANTOPRAZOL                                  40MG CX 2BL X 7 COMP REV##35,83 
7895296199049##PANTOPRAZOL                                  40MG CX 4BL X 7 COMP REV##71,11 
7897076913296##PANTOPRAZOL                                  40MG CX 7 COMP##15,96 
7896422506588##PANTOPRAZOL                                  20MG CX 14 COMP##23,07 
7891721200144##PANTOPRAZOL                                  20MG CX 14 COMP REV##22,22 
7897595606242##PANTOPRAZOL                                  20MG CX 14 COMP REV##22,82 
7896658012488##PANTOPRAZOL                                  20MG CX 14 COMP REV##20,09 
7896422506595##PANTOPRAZOL                                  20MG CX 28 COMP##44,16 
7891721200151##PANTOPRAZOL                                  20MG CX 28 COMP REV##41,91 
7897595606259##PANTOPRAZOL                                  20MG CX 28 COMP REV##43,69 
7896422517263##PANTOPRAZOL                                  20MG CX 42 COMP##55,82 
7896422506571##PANTOPRAZOL                                  20MG CX 7 COMP##13,79 
7891721200137##PANTOPRAZOL                                  20MG CX 7 COMP REV##10,77 
7896422506618##PANTOPRAZOL                                  40MG CX 14 COMP##41,69 
7891721200175##PANTOPRAZOL                                  40MG CX 14 COMP REV##39,57 
7897595606280##PANTOPRAZOL                                  40MG CX 14 COMP REV##41,23 
7891317120870##PANTOPRAZOL                                  40MG CX 14 COMP REV##35,84 
7896658012945##PANTOPRAZOL                                  40MG CX 14 COMP REV##33,52 
7896422506625##PANTOPRAZOL                                  40MG CX 28 COMP##78,77 
7891721200182##PANTOPRAZOL                                  40MG CX 28 COMP REV##73,86 
7897595606297##PANTOPRAZOL                                  40MG CX 28 COMP REV##75,27 
7891317120863##PANTOPRAZOL                                  40MG CX 28 COMP REV##71,68 
7896422517287##PANTOPRAZOL                                  40MG CX 42 COMP##99,99 
7896422506601##PANTOPRAZOL                                  40MG CX 7 COMP##22,82 
7891721200168##PANTOPRAZOL                                  40MG CX 7 COMP REV##19,12 
7891317450113##PANTOPRAZOL                                  40MG PO LIOF INJ CX 50 FA+DIL X 10ML##2.698,93 
7896181918417##PANTOPRAZOL                                  20MG CX 14 COMP REV##20,09 
7896181918424##PANTOPRAZOL                                  20MG CX 28 COMP REV##33,52 
7896181918684##PANTOPRAZOL                                  40MG CX 14 COMP REV##33,52 
7896181918691##PANTOPRAZOL                                  40MG CX 28 COMP REV##67,04 
7896014688678##PANTOPRAZOL SODICO SESQUIIDRATADO            40MG PO SOL INJ IV 20FA+20AMP DILX10ML EMB H##1.061,00 
7896014688685##PANTOPRAZOL SODICO SESQUIIDRATADO            40MG PO SOL INJ IV 50FA+50AMP DILX10ML EMB H##2.652,51 
7896014688661##PANTOPRAZOL SODICO SESQUIIDRATADO            40MG PO SOL INJ IV 5FA+5AMP DILX10ML EMB HOS##265,26 
7896014688654##PANTOPRAZOL SODICO SESQUIIDRATADO            40MG PO SOL INJ IV FA + AMP DIL X 10 ML##53,05 
7896641802430##PANTOZOL                                     20MG CX 14 COMP##53,39 
7896641802478##PANTOZOL                                     20MG CX 28 COMP##100,52 
7896641802423##PANTOZOL                                     20MG CX 7 COMP##30,93 
7896641804748##PANTOZOL                                     20MG X 6 SEMANAS CX 42 COMP##165,47 
7896641807084##PANTOZOL                                     20MG X 8 SEMANAS CX 56 COMP REV##220,50 
7896641802119##PANTOZOL                                     40MG CX 14 COMP##94,94 
7896641802232##PANTOZOL                                     40MG CX 28 COMP##177,15 
7896641802126##PANTOZOL                                     40MG CX 7 COMP##51,84 
7896641804755##PANTOZOL                                     40MG X 6 SEMANAS CX 42 COMP##287,20 
7896641807091##PANTOZOL                                     40MG X 8 SEMANAS CX 56 COMP REV##382,72 
7896641805714##PANTOZOL                                      INJ EV CX C/ 1 FR.AMP##82,65 
7896641806261##PANTOZOL                                     40MG GRAN REV CX 28 ENV##164,48 
7897917003209##PARACETAMOL                                  200MG/ML SOL OR C/ 100FR X 15ML EMB HOSP##478,28 
7897917003193##PARACETAMOL                                  200MG/ML SOL OR C/ 50FR X 15ML EMB HOSP##239,13 
7897917003186##PARACETAMOL                                  200MG/ML SOL OR FR GT X 15ML##4,78 
7898148292721##PARACETAMOL                                  200MG/ML SOL OR FR GTS 15ML##7,29 
7898148295098##PARACETAMOL                                  500MG CX 360 COMP E.M.##99,43 
7898148293605##PARACETAMOL                                  500MG PO SOL OR CX 50 SACHES X 5G E.M.##41,29 
7899547503746##PARACETAMOL                                  750MG CX 280 COMP REV EMB FRAC##105,44 
7896004716299##PARACETAMOL                                  100MG SOL ORAL FR 15ML##10,86 
7896004716282##PARACETAMOL                                  100MG SOL ORAL FR 15ML##10,57 
7894916143530##PARACETAMOL                                  100MG SOL ORAL FR 15ML##10,94 
7896004700038##PARACETAMOL                                  200MG FR GTS 15ML##5,84 
7898089300998##PARACETAMOL                                  200MG SOL OR CX 50 FR GOT  15ML HOSP##444,57 
7898089300981##PARACETAMOL                                  200MG SOL OR FR GOT 15ML##8,89 
7894916142311##PARACETAMOL                                  200MG SOL ORAL FR 15ML##5,32 
7896004716305##PARACETAMOL                                  32MG SOL ORAL FR 60ML##8,05 
7896004716312##PARACETAMOL                                  32MG SOL ORAL FR 60ML##7,52 
7894916143554##PARACETAMOL                                  32MG SOL ORAL FR 60ML##8,10 
7896004716329##PARACETAMOL                                  500MG CX 50BL X 4 COMP REV##72,70 
7896004720005##PARACETAMOL                                  500MG PO 25 SACHES X 5G LIMAO/MEL##21,72 
7896004713502##PARACETAMOL                                  500MG PO 50 SACHES X 5G SB LIMAO/MEL##43,91 
7896004703596##PARACETAMOL                                  750MG CX 20 COMP##11,85 
7896004719214##PARACETAMOL                                  750MG CX 20 COMP REV##8,75 
7894916142298##PARACETAMOL                                  750MG CX 20 COMP REV##9,10 
7898089300967##PARACETAMOL                                  750MG CX 20 COMP SAB LARANJA##13,20 
7896004703602##PARACETAMOL                                  750MG CX 200 COMP##108,80 
7898089300974##PARACETAMOL                                  750MG CX 200 COMP HOSP##132,44 
7896004719207##PARACETAMOL                                  750MG CX 200 COMP REV##87,91 
7898148295142##PARACETAMOL                                  750MG CX 300 COMP REV EMB HOSP##136,72 
7898148294961##PARACETAMOL                                  750MG CX 480 COMP REV HOSP##66,52 
7896112184232##PARACETAMOL                                  750MG CX 50BL X 4 COMP E.M##102,71 
7894916142304##PARACETAMOL                                  750MG CX 50BL X 4 COMP REV##92,14 
7896004716213##PARACETAMOL                                  FR GTS 15ML##5,15 
7896714204185##PARACETAMOL                                  200MG SOL OR FR GTS 15ML##5,59 
7899095202078##PARACETAMOL                                  200MG SOL ORAL FR GTS 15ML##7,22 
7896523208176##PARACETAMOL                                  200MG/ML SOL FR GTS 15ML##5,65 
7898148292714##PARACETAMOL                                  200MG/ML SOL OR CX 200 FR X 15ML EMB HOSP##620,55 
7897848500587##PARACETAMOL                                  200MG/ML SOL OR FR 15ML##4,25 
7898166041042##PARACETAMOL                                  200MG/ML SOL OR FR GOT X 15ML##4,20 
7896006281788##PARACETAMOL                                  200MG/ML SOL ORAL FR 15ML##95,10 
7896112147312##PARACETAMOL                                  200MG/ML SOL ORAL FR GTS 15ML##6,52 
7895296274012##PARACETAMOL                                  200MG/ML SOL ORAL FR GTS 15ML##6,85 
7896006281795##PARACETAMOL                                  400+4+4MG CX 10 CAP##5,60 
7896006281764##PARACETAMOL                                  400+4+4MG CX 20 CAP##10,21 
7896112119982##PARACETAMOL                                  500MG CX 20 COMP##8,43 
7898920244078##PARACETAMOL                                  500MG CX 20 COMP##6,45 
7898148295012##PARACETAMOL                                  500MG CX 20 COMP##6,90 
7898216361755##PARACETAMOL                                  500MG CX 200 COMP E.M##67,75 
7896112171317##PARACETAMOL                                  500MG CX 200 COMP E.M##84,36 
7896112149682##PARACETAMOL                                  500MG CX 200 COMP EMB HOSP##80,60 
7896472511365##PARACETAMOL                                  500MG CX 20BL X 10 COMP##87,14 
7898148295029##PARACETAMOL                                  500MG CX 500 COMP EMB HOSP##48,95 
7898148294978##PARACETAMOL                                  750MG CX 100 COMP REV E.M##41,94 
7896523209432##PARACETAMOL                                  750MG CX 20 COMP##6,90 
7896714214498##PARACETAMOL                                  750MG CX 20 COMP##13,46 
7898940658626##PARACETAMOL                                  750MG CX 20 COMP##6,36 
7895296289016##PARACETAMOL                                  750MG CX 20 COMP REV##11,77 
7896112149705##PARACETAMOL                                  750MG CX 20 COMP SB LARANJA##10,24 
7898216361762##PARACETAMOL                                  750MG CX 200 COMP E.M##84,71 
7896523209449##PARACETAMOL                                  750MG CX 200 COMP E.M##54,90 
7896112171324##PARACETAMOL                                  750MG CX 200 COMP E.M##102,71 
7896112149712##PARACETAMOL                                  750MG CX 200 COMP EMB HOSP##93,37 
7896472502882##PARACETAMOL                                  750MG CX 20BL X 10 COMP##106,91 
7896472503636##PARACETAMOL                                  750MG CX 2BL X 10 COMP##9,87 
7898148295081##PARACETAMOL                                  750MG CX 300 COMP REV E.M##106,90 
7898095346034##PARACETAMOL                                  750MG CX 4 COMP##2,35 
7896523211848##PARACETAMOL                                  750MG CX 50BL X 4 COMP E.M##90,48 
7895296289023##PARACETAMOL                                  750MG CX 50BL X 4 COMP REV EMB HOSP##111,93 
7896714214542##PARACETAMOL                                  750MG DISPLAY 200 COMP##110,96 
7896523208190##PARACETAMOL                                  BEBE 100MG/ML SUS OR FR 15ML+SER DOS##10,28 
7896422519618##PARACETAMOL                                  BEBE 100MG/ML SUS ORAL FR 15ML+SER DOS##12,07 
7896422519694##PARACETAMOL                                  CRIANCA 32MG SUS ORAL FR 60ML+SER DOS##9,20 
7891317424244##PARACETAMOL                                  200M SOL ORAL FR GTS 15ML##5,50 
7896422505390##PARACETAMOL                                  200MG SOL FR GTS 15ML##10,26 
7896181909712##PARACETAMOL                                  200MG SOL ORAL FR GTS 15ML##5,79 
7897732602168##PARACETAMOL                                  200MG/ML SOL OR FR 10ML##1,38 
7898158696106##PARACETAMOL                                  750MG COM CT BL AL PLAS AMB X 20##9,17 
7896422512541##PARACETAMOL                                  750MG CX 100 COMP REV##80,92 
7897595606143##PARACETAMOL                                  750MG CX 20 COMP##11,96 
7896181913214##PARACETAMOL                                  750MG CX 20 COMP##10,31 
7896422504911##PARACETAMOL                                  750MG CX 20 COMP REV##17,12 
7897595606150##PARACETAMOL                                  750MG CX 200 COMP EM##110,07 
7898910350147##PARACETAMOL                                  750MG CX 20BL X 10 COMP##63,51 
7891317423025##PARACETAMOL                                  750MG CX 50BL X 4 COMP##95,11 
7896181912958##PARACETAMOL                                  750MG CX 50BL X 4 COMP##99,40 
7896422504928##PARACETAMOL                                  750MG CX 50BL X 4 COMP E.M.##160,18 
7896004721323##PARACETAMOL+CAFEINA                          500+65MG CX 20 COMP REV##10,94 
7896004721309##PARACETAMOL+CAFEINA                          500+65MG CX 2BL X 10 COMP REV##11,23 
7894916144537##PARACETAMOL+CAFEINA                          CX 2BL X 10 COMP REV##11,08 
7896422519939##PARACETAMOL+CAFEINA                          500+65MG CX 20 COMP REV##13,84 
7896004722337##PARACETAMOL+CLORIDRATO DE PSEUDOEFEDRINA     500+30MG CX 24 COMP REV##6,83 
7896004722344##PARACETAMOL+CLORIDRATO DE PSEUDOEFEDRINA     CX 2BL X 12 COMP REV##6,83 
7899095238565##PARACETAMOL+CODEINA                          500+30MG CX C/12COMP (A2)##12,90 
7898146823804##PARACETAMOL+FOSFATO DE CODEINA               500+30MG CX 12 COMP##11,44 
7898146824061##PARACETAMOL+FOSFATO DE CODEINA               500+30MG X 24 COMP##22,71 
7891317448950##PARACETAMOL+FOSFATO DE CODEINA               500MG+30MG BL 12 COMP##11,48 
7898078942635##PARACETREX                                   500MG CX 200 COMP##67,60 
7898078942659##PARACETREX                                   750MG CX 200 COMP REV##119,77 
7896026303361##PARADOR DUOCAF                               250+200MG+50MG CX 20 COMP##9,63 
7898216361656##PARAFLAN                                     500MG CX 200 COMP##83,16 
7898216361663##PARAFLAN                                     750MG CX 200 COMP##86,05 
7896212416929##PARALON                                      300+200MG CX 12 CAP##8,98 
7897917001120##PARAMOL                                      200MG SOL ORAL FR GTS 15ML##4,77 
7897917001090##PARAMOL                                      750MG CX 12 COMP##7,21 
7897917001106##PARAMOL                                      750MG CX 200 COMP##122,75 
7896179850170##PARAPSYL                                     CX 10 SACHES X 13,6##27,12 
7896658005732##PARAQUEIMOL                                  74+21,67MG POM DERM BG 50##13,08 
7893736005905##PARARTRIN                                    300MG CX 30 COMP##16,84 
7893736001129##PARARTRIN                                    600MG CX 30 COMP##29,38 
7896658002687##PARASIN                                      400MG 1 COMP MAST##6,78 
7896658002670##PARASIN                                      40MG SUS ORAL FR 10ML##6,85 
7892953001332##PARATRAM                                     37,5 MG + 325 MG COM CT BL AL PLAS INC X 30##52,86 
7892953001318##PARATRAM                                     37,5+325MG CX 10 COMP##25,91 
7892953001288##PARATRAM                                     37,5+325MG CX 20 COMP##41,46 
7896261014800##PARCEL                                       1+450+40MG CX 20 DR##18,03 
7892953200223##PAREXEL                                      6MG/ML SOL INJ 1FA X 16,7ML##1.464,71 
7892953200230##PAREXEL                                      6MG/ML SOL INJ 1FA X 25ML##2.149,35 
7892953200247##PAREXEL                                      6MG/ML SOL INJ 1FA X 50ML##4.298,36 
7892953200216##PAREXEL                                      6MG/ML SOL INJ 1FA X 5ML##422,66 
7896212426928##PARIET                                       10MG CX 14 COMP REV##49,68 
7896212429141##PARIET                                       20MG CX 14 COMP REV##94,34 
7896212429158##PARIET                                       20MG CX 28 COMP REV##178,24 
7896212423781##PARIET                                       20MG CX 56 COMP REV##257,64 
7896212400002##PARIET                                       20MG CX 7 COMP REV##52,18 
7896212427055##PARIET                                       20MG CX7##52,18 
7896676410877##PARKIDOP                                     250+25MG CX 30 COMP##25,44 
7896676412079##PARKIDOPA                                    250+25MG CX 20BL X 10 COMP EMB HOSP##169,65 
7896714204383##PARKLEN                                      25+250MG CX 30 COMP##32,51 
7896714215709##PARKLEN                                      CX 20BL X 10 COMP##211,24 
7896261002678##PARLODEL                                     2,5MG CX 14 COMP##36,34 
7896261002685##PARLODEL                                     2,5MG CX 28 COMP##70,93 
7896015523541##PARNATE                                      10MG X 20 COMP##19,57 
7896015529093##PARODONTAX                                   CREME DENTAL BRANQUEADOR BG 50GR##6,35 
7896015527457##PARODONTAX                                   CREME DENTAL FLUOR BG 90##10,30 
7896015527440##PARODONTAX                                   CREME DENTAL ORIGINAL BG 50##6,35 
7896015527433##PARODONTAX                                   CREME DENTAL FLUOR BG 50##6,35 
7896112147428##PAROX                                        20MG CX 30 COMP REV##88,12 
7896004737348##PAROXILIV                                    20MG 2BL X 15 COMP REV##30,11 
7896226102818##PASALIX                                      CX 20 COMP##25,13 
7896226102214##PASALIX                                      FR 100ML##19,08 
7898361700304##PASMODEX                                     0,25MG/ML SOL INJ CX 120 AMP X 1ML HOSP##40,13 
7896372500476##PASSAJA                                      CX 24FLAC X 4ML##76,99 
7896083404315##PASSIENE                                     75MG/ML X 120ML XAROPE##19,53 
7896830500307##PASSIFLORINE                                 FR 20 DR##21,93 
7896830500314##PASSIFLORINE                                 FR 40 DR##36,48 
7896830500321##PASSIFLORINE                                 SOL FR 100ML##24,12 
7896830500222##PASSIFURIL                                   SUS FR 40ML##10,30 
7897917000017##PASTA D'AGUA                                 BG 80##16,28 
7897917002721##PASTA D'AGUA MENTOLADA                       BG 80##12,86 
7896523219691##PASTA D'AGUA CIMED                           POM BG 100##10,84 
7896323910040##PASTA PARISIENSE                             BG 5G CX 360UND##4,71 
7896548115251##PATANOL                                      0,1% SOL OFT FR GTS 5ML##35,15 
7896548140581##PATANOL S                                    2MG/ML SOL OFT FR GTS 2,5ML##35,15 
7894916508384##PATZ SL                                      5MG CX 20 COMP##38,86 
7894916509510##PATZ SL                                      5MG CX 30 COMP SUB##50,54 
7896015516611##PAXIL CR                                     12,5MG CX 10 COMP##26,26 
7896015516956##PAXIL CR                                     12,5MG CX 30 COMP##42,49 
7896015516628##PAXIL CR                                     25MG CX 10 COMP##52,52 
7896015516949##PAXIL CR                                     25MG CX 30 COMP##85,13 
7897322706054##PAXORAL                                      3,5MG CX 10 CAP##31,76 
7897322706030##PAXORAL                                      7MG CX 10 CAP##47,04 
7897322700441##PAXORAL                                      7MG CX 30 CAP##141,17 
7896006282303##PAXTRAT                                      20MG CX 20 COMP REV##25,95 
7896006282389##PAXTRAT                                      20MG CX 30 COMP REV##41,92 
7896317909999##PAZINE                                       315MG CX 30 COMP REV##46,62 
7896255766081##PEDIALYTE                                    NG 45 500ML SB GUARANA##12,99 
7896255766050##PEDIALYTE                                    NG 45 500ML SB MACA##12,99 
7896255766012##PEDIALYTE                                    NG 45 500ML SB MORANGO##12,99 
7896255766067##PEDIALYTE                                    NG 60 500ML SB MACA##13,74 
7896255766074##PEDIALYTE                                    NG 60 500ML SB UVA##13,74 
7891158027529##PEDIALYTE                                    45 SOL FR 500ML SB CEREJA##12,37 
7891158027543##PEDIALYTE                                    45 SOL FR 500ML SB COCO##12,37 
7891158027567##PEDIALYTE                                    45 SOL FR 500ML SB GUARANA##12,37 
7891158027536##PEDIALYTE                                    45 SOL FR 500ML SB MACA##12,37 
7891158028922##PEDIALYTE                                    45 SOL FR 500ML SB TUTTI-FRUTTI##12,37 
7891158027871##PEDIASURE                                    400G LATA SB BAUNILHA##35,86 
7891158028137##PEDIASURE                                    400G LATA SB CHOCOLATE##35,86 
7891158100260##PEDIASURE                                    400G LATA SB MORANGO##35,86 
7891158100208##PEDIASURE                                    900G LATA SB BAUNILHA##76,68 
7891158100215##PEDIASURE                                    900G LATA SB CHOCOLATE##76,68 
7898158690395##PEDIDERM                                     0,2MG LOCAO 100ML##11,84 
7898158690401##PEDIDERM                                     0,2MG SHAMPOO FR 100ML##11,84 
7896523209364##PEDILETAN                                    10MG/ML LOCAO FR 60ML##8,58 
7898109240488##PELLETRAT                                    50MG/G POM DERM BG 30##11,12 
7897473200227##PEMEGLENN                                    100MG SOL INJ 1FA X 15ML##1.193,40 
7897473200234##PEMEGLENN                                    500MG SOL PO INJ 1FA X 30ML##5.967,01 
7892953001219##PEMEKER                                      500MG PO LIOF SOL INJ FA##6.020,30 
7897473206526##PEMETREXEDE                                  100MG SOL INJ 1FA X 15ML##775,59 
7897473206533##PEMETREXEDE                                  500MG SOL PO INJ 1FA X 30ML##3.878,56 
7898902274833##PEMETREXEDE DISSODICO HEMIPENTAIDRATADO      100MG PO LIOF INJ CX 10FA X 10ML##7.895,56 
7898902274765##PEMETREXEDE DISSODICO HEMIPENTAIDRATADO      100MG PO LIOF INJ CX 5FA X 10ML##3.947,78 
7898902274635##PEMETREXEDE DISSODICO HEMIPENTAIDRATADO      100MG PO LIOF INJ FA X 10ML##789,56 
7898902274574##PEMETREXEDE DISSODICO HEMIPENTAIDRATADO      500MG PO LIOF INJ CX 10FA X 50ML##39.478,22 
7898902274567##PEMETREXEDE DISSODICO HEMIPENTAIDRATADO      500MG PO LIOF INJ CX 5FA X 50ML##19.739,11 
7898902274550##PEMETREXEDE DISSODICO HEMIPENTAIDRATADO      500MG PO LIOF INJ FA X 50ML##3.947,82 
7898577810527##PEMTRYX                                      100MG PO LIOF INJ 05FA X 10ML##5.824,91 
7898577810534##PEMTRYX                                      100MG PO LIOF INJ CX 10FA X 10ML##11.649,83 
7898577810510##PEMTRYX                                      100MG PO LIOF INJ FA X 10ML##1.164,98 
7898577810565##PEMTRYX                                      500MG PO LIOF INJ CX 10FA X 50ML##58.250,00 
7898577810558##PEMTRYX                                      500MG PO LIOF INJ CX 5FA X 50ML##29.125,00 
7898577810541##PEMTRYX                                      500MG PO LIOF INJ FA X 50ML##5.825,00 
7891317007621##PEN-VE-ORAL                                  500.000UI CX 12 COMP##13,40 
7891317007638##PEN-VE-ORAL                                  80.000UI/ML SUSP 60ML##14,25 
7896026120555##PENETRO                                      33+22+5,5MG SOL INAL FR 45ML##12,17 
7896112141648##PENICILIN V                                  500MUI CX 12 COMP##9,59 
7896014687077##PENKARON                                     400000 U INJ CX 100FA##182,87 
7896014687060##PENKARON                                     400000U INJ CX 100 FA + 100 DIL##221,78 
7896014687053##PENKARON                                     400000U INJ CX 50 FA + 50 DIL##114,19 
7897655401794##PENTALAC                                     667MG XPE FR 120ML##22,99 
7896165600406##PENTASA                                      1000MG CX 28 SUP+LUVAS##370,54 
7896165600376##PENTASA                                      500MG CX 50 COMP LIB PROL##224,64 
7896165600802##PENTASA                                      CX 30 SACHES  X 2G LIB PROL##538,76 
7896165600192##PENTASA ENEMA                                10MG/ML RET CART 7 FR X 100ML##139,92 
7896165600505##PENTASA SACHE                                1 G GRAN OR LIB PROL CT ENV AL/PE X 50##448,97 
7836165600796##PENTASA SACHE                                2 G GRAN OR LIB PROL CT ENV AL/PE X 15##269,38 
7897322700731##PENTOX                                       100MG SOL INJ 5 AMP X 5ML##9,10 
7896004719931##PENTOXIFILINA                                400MG CX 10BL X 6 COMP REV##71,01 
7896004700953##PENTOXIFILINA                                400MG CX 20 COMP##26,28 
7896004709277##PENTOXIFILINA                                400MG CX 20 COMP##23,65 
7896181904892##PENTOXIFILINA                                400MG CX 30 COMP REV##35,85 
7896004713571##PENTOXIFILINA                                400MG CX 30 COMP REV##35,50 
7896004713588##PENTOXIFILINA                                400MG CX 30 COMP REV##31,02 
7896422521864##PENTOXIFILINA                                400MG CX 30 COMP REV##35,51 
7896112115106##PENTOXIN                                     400MG CX 20 DR##26,91 
7898216361083##PENTRAT                                      400MG CX 20 COMP##28,65 
7894916500364##PENVIR                                       125MG CX 10 COMP##48,06 
7894916500708##PENVIR                                       500MG CX 14 COMP##179,76 
7894916500371##PENVIR                                       500MG CX 3BL X 7 COMP REV##215,71 
7894916500418##PENVIR                                       LABIA BG 5##21,10 
7896094200401##PEPRAZOL                                     20MG CX 28 CAP##55,84 
7897595903730##PEPSAMAR                                     230MG CX 200 COMP E.M.##58,11 
7897595903747##PEPSAMAR                                     230MG CX 50 COMP##14,48 
7896004712642##PEPSOGEL                                     SUSP FR 240ML##20,84 
7898049790098##PEPTOVIT                                     40MG CX 14 COMP REV##31,32 
7898049794669##PEPTOVIT                                     40MG CX 490 COMP REV EMB HOSP##428,72 
7898049794652##PEPTOVIT                                     40MG CX 28 COMP REV##48,78 
7896094904309##PEPTOZIL                                     17,46MG SOL OR FR 120ML##13,06 
7896094904293##PEPTOZIL                                     262MG DISPLAY 150 COMP MAST##97,34 
7897322700748##PEPTULAN                                     120MG CX 2ENV X 10COMP+1ENV##52,27 
7891158025990##PERATIVE                                     LATA 237ML##104,00 
7891158026041##PERATIVE RTH                                 SF-1000ML##824,75 
7891317411909##PERCOF                                       6 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED##18,85 
7896006202103##PERFENOL                                     400+4+4MG CX 20 CAP##10,40 
7896006205234##PERFENOL                                     400+4+4MG CX 200 CAP##94,34 
7896622305738##PERFER                                       32,5MG FR 50 COMP REV##5,72 
7891721024030##PERGOVERIS                                   150+75UI PO LIOF INJ DIL FR 1ML##244,17 
8902220110687##PERICOR                                      4MG CX 10 COMP##13,23 
8902220107335##PERICOR                                      4MG CX 30 COMP##38,80 
7896422507509##PERIDAL                                      10MG CX 30 COMP##11,51 
7896422509022##PERIDAL                                      10MG CX 60 COMP##21,91 
7896422513746##PERIDAL                                      SUS FR 100ML##23,66 
7897655040108##PERIDONA                                     10MG CX 20 COMP##9,11 
7897655040115##PERIDONA                                     1MG SUS FR 100ML##32,40 
7897076908643##PERINDOPRIL ERBUMINA                         4MG CX 30 COMP##51,46 
7896070607057##PERIODONTIL                                  750.000UI+125MG CX 20 COMP REV##47,85 
7891317123246##PERIVASC                                     450+50MG CX 30 COMP##28,23 
7891317123253##PERIVASC                                     450+50MG CX 60 COMP REV##52,71 
7896226506401##PERJETA                                      420MG CX 1FA##8.995,00 
7895296254014##PERLUMES                                     150MG INJ 1 AMP X 1ML##7,88 
7795304085275##PERLUTAN                                     150+10MG SOL INJ 1AMP X 1ML##10,54 
7896226103013##PERMEAR                                      300MG CX 10 COMP##35,15 
7896226103037##PERMEAR                                      300MG CX 30 COMP##100,93 
7896226103020##PERMEAR                                      300MG CX 20 COMP##73,10 
7897848500303##PERMENATI                                    10MG/ML LOCAO FR 60ML##8,79 
7897848502840##PERMENATI                                    50MG/ML LOCAO CREAM FR 60ML##18,55 
7899547515022##PERMETRINA                                   10MG/G FR LOC X 60ML##11,01 
7899547515039##PERMETRINA                                   10MG/G LOC FR CX 50 X 60ML EMB HOSP##550,86 
