7897595901927##A A S                                        100MG CX 120 COMP##38,21 
7896112154365##AERODINI                                     100MCG AER+ESPAC FR 200 DOS##21,74 
7896112147640##AERODINI                                     100MCG SPRAY AER FR 200 DOS##22,82 
7896269900013##AEROFLUX                                     2+100MG/5ML SOL EDUL FR 120ML##10,43 
7898014561333##AEROFRIN                                     100MCG AER 200 JATOS##20,52 
7898014560336##AEROFRIN                                     XPE FR 120ML##6,26 
7897473201071##AEROGOLD                                     100MCG PO AER INAL FR 200 DOS##21,15 
7896672201912##AEROJET                                      SPRAY C/ESPACADOR X 200 DOS##21,92 
7896672202445##AEROJET                                      SPRAY X 200 DOS##18,63 
7896269900051##AEROLIN                                      0,5MG SOL INJ 5AMP X 1ML##9,00 
7896015522506##AEROLIN                                      1MG SOL NEB CX 20 AMP X 2,5ML##10,36 
7896269900037##AEROLIN                                      2MG CX 20 COMP##3,06 
7896269900075##AEROLIN                                      2MG/5ML XPE FR 120ML SUGARFREE##6,43 
7896269900044##AEROLIN                                      4MG CX 20 COMP##4,51 
7896269900068##AEROLIN                                      5MG SOL NEB NAS FR 10ML##10,36 
7896269900150##AEROLIN                                      SPRAY 200DOS##24,06 
7896015521370##AEROLIN                                      SPRAY 200DOS+ESPACADOR##24,06 
7896862980047##AEROMED                                      2MG/5ML XPE FR 120ML##6,44 
7898078941539##AEROTAMOL                                    XPE FR 120ML##7,00 
7893736010237##AEROTRAT                                     2MG CX 20 COMP##2,90 
7893736013504##AEROTRAT                                     2MG/5ML XPE FR 100ML##5,70 
7896261016545##AFINITOR                                     10MG CX 30 COMP##10.343,96 
7896261018075##AFINITOR                                     2,5MG CX 30 COMP##2.585,95 
7896261016538##AFINITOR                                     5MG CX 30 COMP##5.171,98 
7896112141846##AFOPIC                                       5MG CX 20 COMP##5,79 
7891142113375##AFRIN                                        6,5+0,25MG SOL NAS FR 30ML##7,15 
7891142113269##AFRIN                                        0,250MG FR 20ML PED##8,93 
7891142113306##AFRIN                                        0,250MG SOL OFT FR 20ML##2,36 
7891142113153##AFRIN                                        0,5MG 12H FR 10ML ADU##7,12 
7891142113160##AFRIN                                        0,5MG 12H FR 30ML ADU##12,81 
7898158690517##AFTINE                                       15+25+1+15MG SUS OR FR 20ML##16,12 
7897299900127##AFTJET                                       100MG SOL TOP GTS 30ML##15,87 
7896261002067##AGASTEN                                      0,05MG XPE FR 120ML##9,54 
7896261002050##AGASTEN                                      1MG CX 15 COMP##15,78 
7898495605014##AGE D OR                                     NUTRIOX ANTIOXIDANTE FR 30 CAP##79,90 
7898495605526##AGE D OR                                     CART C/ 1 BISN POLIETILENO 150##48,99 
7898495603560##AGE D OR                                     HIDRADANTE PARA MAOS FPS15 BG 60##27,57 
7898495603249##AGE D OR                                     HIDRATANTE REPARADOR DA PELE BG 60##34,34 
7898495603003##AGE D OR                                     SABONETE INTIMO FR 150ML##25,41 
7896641801488##AGIOLAX                                      TB 100##53,36 
7896641801495##AGIOLAX                                      TB 250##113,86 
7894916507691##AGLITIL                                      15MG FR X 15 COMP##20,17 
7894916507707##AGLITIL                                      30MG FR X 15 COMP##30,89 
7894916508421##AGLITIL                                      30MG FR X 30 COMP##61,76 
7894916507714##AGLITIL                                      45MG FR X 15 COMP##59,87 
7894916503761##AGLUCOSE                                     100MG CX 30 COMP##28,63 
7894916503754##AGLUCOSE                                     50MG CX 30 COMP##18,86 
7895858005849##AGRASTAT                                     0,25MG/ML SOL INJ 1FA X 50ML##754,32 
7898152460086##AGRITOSS                                     0,15ML SOL OR FR 100ML+CM##7,28 
7898152460093##AGRITOSS                                     0,15ML SOL OR FR VD 100ML+CM##7,28 
7896023799945##AGUA BORICADA                                FR 100ML##2,95 
7898170783327##AGUA ESTERIL PARA INJETAVEIS BEKER           SOL INJ IV CX 100 X 100 ML##447,78 
7896023705397##AGUA INGLESA                                 FR 500ML##22,49 
7896023705557##AGUA OXIGENADA                               FR 100ML VOL 10##2,54 
7898901848820##AGUA PARA INJECAO                            SOL INJ CT 50 AMP X 10 ML##21,65 
7898901848813##AGUA PARA INJECAO                            25 AMP X 10ML##10,84 
7898361700154##AGUA PARA INJECAO                            SOL INJ CX 100 AMP X 10ML##33,70 
7898361700198##AGUA PARA INJECAO                            SOL INJ CX 100 AMP X 20ML##56,98 
7898361700017##AGUA PARA INJECAO                            SOL INJ CX 100 AMP X 5ML##31,84 
7898361700151##AGUA PARA INJECAO                            SOL INJ CX 200 AMP X 10ML##67,43 
7898361700199##AGUA PARA INJECAO                            SOL INJ CX 200 AMP X 20ML##113,98 
7898361700168##AGUA PARA INJECAO                            SOL INJ CX 200 AMP X 2ML##16,27 
7898361700014##AGUA PARA INJECAO                            SOL INJ CX 200 AMP X 5ML##64,63 
7898361700169##AGUA PARA INJECAO                            SOL INJ CX 50 AMP X 2ML##4,06 
7898361700015##AGUA PARA INJECAO                            SOL INJ CX 50 AMP X 5ML##12,26 
7898170783228##AGUA PARA INJETAVEIS                         SOL INJ CX 14 BOLS PLAS FLEX X 1000 ML##116,71 
7898170783211##AGUA PARA INJETAVEIS                         SOL INJ CX 24 BOLS PLAS FLEX X 500 ML##142,93 
7898170783204##AGUA PARA INJETAVEIS                         SOL INJ CX 50 BOLS PLAS FLEX X 250 ML##267,94 
7898170783198##AGUA PARA INJETAVEIS                         SOL INJ CX 90 BOLS PLAS FLEX X 125 ML##503,75 
7896014650040##AGUA PARA INJETAVEIS                         SOL INJ CX 100 AMP X 10 ML##38,38 
7896014650095##AGUA PARA INJETAVEIS                         SOL INJ CX 100 AMP X 10ML##38,38 
7896014650057##AGUA PARA INJETAVEIS                         SOL INJ CX 100 AMP X 20 ML##76,77 
7896014650064##AGUA PARA INJETAVEIS                         SOL INJ CX 100 AMP X 3ML##11,52 
7896014650071##AGUA PARA INJETAVEIS                         SOL INJ CX 100 AMP X 4 ML##15,35 
7896014650033##AGUA PARA INJETAVEIS                         SOL INJ CX 100 AMP X 5ML##19,19 
7896014650088##AGUA PARA INJETAVEIS                         SOL INJ CX 100 AMP X 5ML##19,19 
7896004728568##AH-ZUL                                       100MG CX 1BL X 4 COMP REV##67,06 
7896004734323##AH-ZUL                                       25MG CX 1BL X 2 COMP REV##17,46 
7896004730295##AH-ZUL                                       25MG CX 1BL X 4 COMP REV##34,79 
7896004734316##AH-ZUL                                       50MG CX 12 COMP REV##95,24 
7896004736778##AH-ZUL                                       50MG CX 1BL X 1 COMP REV##9,56 
7896004730301##AH-ZUL                                       50MG CX 1BL X 2 COMP REV##19,12 
7896004730318##AH-ZUL                                       50MG CX 1BL X 4 COMP REV##37,86 
7896004730325##AH-ZUL                                       50MG CX 2BL X 4 COMP REV##74,71 
7891317144166##AIDE 3                                       200UI SOL OR FR 10ML##23,36 
7891317144142##AIDE 3                                       200UI SOL OR FR 20ML##37,11 
7896658005183##AIRCLIN                                      SPRAY NAS FR 15ML (120 DOSES)##42,06 
7891317459062##AIRES                                        120MG/G CX 16 SACHES X 5G GRAN##36,32 
7891317464028##AIRES                                        120MG/G CX 8 ENV X 5G GRAN##17,47 
7891317459048##AIRES                                        20MG/G CX 16 SACHES X 5G GRAN##14,63 
7891317464035##AIRES                                        20MG/G CX 8 ENV X 5G GRAN##7,04 
7891317459055##AIRES                                        40MG/G CX 16 SACHES X 5G GRAN##16,32 
7891317464042##AIRES                                        40MG/G CX 8 ENV X 5G GRAN##7,86 
7896422531788##AIXA                                         2+0,03MG CX 21 COMP REV##27,07 
7896422532228##AIXA                                         2+0,03MG CX 63 COMP REV##73,90 
7896255711005##AKINETON                                     2MG CX 80 COMP##21,60 
7896255711043##AKINETON                                     4MG CX 30 COMP REV RETARD##14,59 
7899095201972##ALBEL                                        200MG/5ML SUS FR 10ML##4,83 
7899095201934##ALBEL                                        400MG CX 1 COMP##4,25 
7898148295227##ALBENDAZOL                                   400MG CX 100 COM MAST (EMB FRAC)##3,92 
7898148295227##ALBENDAZOL                                   400MG CX 100 COMP MAST##65,50 
7896714205878##ALBENDAZOL                                   400MG CX 1 COMP##4,02 
7898148295234##ALBENDAZOL                                   400MG CX 80 COMP HOSP##152,67 
7896714201252##ALBENDAZOL                                   400MG SUS FR 10ML##3,43 
7898148295210##ALBENDAZOL                                   400MG X 1 COMP MAST##3,92 
7896004702452##ALBENDAZOL                                   40MG SUS FR 10ML##5,28 
7898148292943##ALBENDAZOL                                   40MG SUS OR CX 200 FR 10ML HOSP##283,66 
7894916143264##ALBENDAZOL                                   40MG SUS ORAL FR 10ML##4,86 
7898148292936##ALBENDAZOL                                   40MG/ML SUS OR FR 10ML##3,84 
7896422511728##ALBENDAZOL                                   400MG FR 1 COMP MAST##4,56 
7896112126515##ALBENDAZOL                                   400MG CX 1 COMP MAST##4,61 
7896112147909##ALBENDAZOL                                   40MG/ML SUS ORAL FR 10ML##3,64 
7895296210218##ALBENDAZOL                                   40MG/ML SUS ORAL FR 10ML+CM##5,50 
7898078942147##ALBENDROX                                    200MG CX 2 COMP##2,64 
7898078942161##ALBENDROX                                    400MG CX 1 COMP##3,77 
7898078942185##ALBENDROX                                    400MG SUS OR FR 10ML##4,12 
7896331702095##ALBENDY                                      400MG CX 1 COMP##4,56 
7896331702088##ALBENDY                                      40MG/ML SUS ORAL FR 10ML##5,44 
7898060131900##ALBENIX                                      200MG CX 2 COMP##2,22 
7898060131917##ALBENIX                                      40MG/ML SUS ORAL FR 10ML##4,14 
7896112143888##ALBENTEL                                     400MG CX 1 COMP MAST##4,61 
7896112141006##ALBENTEL                                     40MG/ML SUS OR FR 10ML##4,87 
7896672202643##ALBICON                                      TB C/ 20 GRAMAS##9,48 
7893736014518##ALBISTIN                                     100.000UI/ML SUS ORAL FR 40ML##15,69 
7893736014525##ALBISTIN                                     25.000UI/G CREME VAG BG 60##20,11 
7893736014501##ALBISTIN                                     500.000UI CX 16 DR##20,42 
7896641800023##ALBOCRESIL                                   CX 6 OVL##9,64 
7896641800016##ALBOCRESIL                                   GEL BG 50G+APLIC##14,88 
7896641800030##ALBOCRESIL                                   SOL FR 12ML##15,00 
7896014641307##ALBUMAX                                      20% INJ CX 1FA 50ML+EQ##222,90 
7896083400027##ALCACHOFRA                                   300MG CX 45 CAP##19,78 
7896472515363##ALCACHOFRA MULTILAB                          200MG CX 120 COMP##46,52 
7896472515349##ALCACHOFRA MULTILAB                          200MG CX 30 COMP##12,97 
7896472515356##ALCACHOFRA MULTILAB                          200MG CX 60 COMP##23,75 
7896023703010##ALCACHOFRAX                                  FR 100 COMP##41,20 
7896622300030##ALCAFELOL                                    LIQ FR 150ML##13,46 
7896622303413##ALCAFLOR UNO                                 200MG CX 120 COMP REV##53,66 
7894164003174##ALCAGEST                                     350MG CX 100 CAP##36,39 
7894164000999##ALCAGEST                                     350MG CX 45 CAP##19,53 
7898014562095##ALCANATAN                                    250MG CX 100 CAP##28,55 
7898014561845##ALCANATAN                                    250MG CX 30 CAP##11,56 
