7898014561838##ALCANATAN                                    250MG FR 150ML##16,62 
7896112123095##AMITRIPTILINA HCL                            25MG CX 20 COMP REV##8,93 
7896112124429##AMITRIPTILINA HCL                            25MG CX 30 COMP REV##8,93 
8902220105607##AMLOCOR                                      10MG CX 30 COMP##37,04 
8902220105591##AMLOCOR                                      5MG CX 30 COMP##23,22 
7898049792870##AMLODIL                                      10 MG COM CT BL AL PLAS AMB  X 500 (EMB HOSP)##102,25 
7898049792863##AMLODIL                                      10MG CX 20 COMP##23,68 
7898049792856##AMLODIL                                      5MG CX 20 COMP##14,28 
7898049792276##AMLODIL                                      5MG CX 500 COMP EMB HOSP##60,13 
7897595601797##AMLOVASC                                     10MG CX 30 COMP##24,16 
7897595601780##AMLOVASC                                     5MG CX 30 COMP##14,39 
7896004714608##AMOX-EMS                                     250MG/5ML SUS ORAL FR 150ML##25,41 
7896004700496##AMOX-EMS                                     500MG CX 21 CAP##26,11 
7898158693860##AMOXADENE                                    250MG/5ML PO PREP FR 150ML##21,86 
7898158693846##AMOXADENE                                    500MG CX 21 COMP##23,54 
7896060134468##AMOXICILINA                                  500MG CX 12 CAP##14,40 
7896060134383##AMOXICILINA                                  500MG CX 21 COMP##21,68 
7898148298853##AMOXICILINA                                  100MG PO SUS ORAL FR 150ML+CM##23,27 
7896004700458##AMOXICILINA                                  250MG SUS FR 150ML##21,27 
7896004702216##AMOXICILINA                                  250MG SUS ORAL FR 150ML##13,04 
7896714205731##AMOXICILINA                                  250MG/5ML PO SUS FR 150ML##15,22 
7896004704593##AMOXICILINA                                  400MG SUS FR 100ML##21,24 
7896004709116##AMOXICILINA                                  400MG SUS ORAL FR 100ML##20,17 
7896714204079##AMOXICILINA                                  500MG CX 15 CAP##14,78 
7896004700441##AMOXICILINA                                  500MG CX 15 CAP##18,16 
7896004702247##AMOXICILINA                                  500MG CX 15 CAP REV##11,44 
7896714207384##AMOXICILINA                                  500MG CX 21 CAP##19,03 
7896004700427##AMOXICILINA                                  500MG CX 21 CAP##25,16 
7898095340193##AMOXICILINA                                  500MG CX 21 CAP##23,94 
7898148298914##AMOXICILINA                                  500MG CX 21 CAP##14,82 
7896004702223##AMOXICILINA                                  500MG CX 21 CAP##15,71 
7894916144605##AMOXICILINA                                  500MG CX 21 CAP##21,24 
7899547502428##AMOXICILINA                                  500MG CX 280 CAP EMB FRAC##139,95 
7896004718996##AMOXICILINA                                  500MG CX 30 COMP##35,22 
7898148298938##AMOXICILINA                                  500MG CX 480 CAP EMB HOSP##235,26 
7898148298945##AMOXICILINA                                  500MG CX 840 CAP HOSP##367,62 
7896004705477##AMOXICILINA                                  500MG SUS FR 150ML##28,57 
7898148298907##AMOXICILINA                                  50MG /MLPO SUSP CX 50 FR X 60ML+50CM RMB HOSP##294,10 
7898095340162##AMOXICILINA                                  50MG SUS ORAL FR 150ML##20,85 
7898148298884##AMOXICILINA                                  50MG/ML PO SUS 50FR X 150ML+50CM HOSP##514,69 
7898148298877##AMOXICILINA                                  50MG/ML PO SUS OR FR 150ML+CM##17,14 
7898148298891##AMOXICILINA                                  50MG/ML PO SUS OR FR 60ML+CM##10,13 
7896004706382##AMOXICILINA                                  875MG CX 14 COMP REV##31,75 
7896004710501##AMOXICILINA                                  875MG CX 14 COMP REV##30,08 
7897595604873##AMOXICILINA                                  500MG CX 16 CAP GEL DURA##16,85 
7897595605726##AMOXICILINA                                  500MG CX 21 CAP GEL DURA##22,91 
7897595604897##AMOXICILINA                                  500MG CX 30 CAP GEL DURA##32,55 
7896422504140##AMOXICILINA                                  125MG PO SUS OR FR 150ML+DOS##17,57 
7896422504157##AMOXICILINA                                  250MG PO SUS OR FR 150ML+DOS##21,29 
7896181918363##AMOXICILINA                                  250MG/5ML PO SUS OR FR 150ML+SER DOS X 10ML##16,24 
7896422507448##AMOXICILINA                                  400MG PO SUS OR FR 100ML+DOS##22,20 
7896181918370##AMOXICILINA                                  400MG/5ML PO SUS OR FR 100ML+SER DOS X 10ML##18,30 
7896422504119##AMOXICILINA                                  500MG CX 15 CAP##17,40 
7896181916963##AMOXICILINA                                  500MG CX 15 CAP##10,66 
7896422504126##AMOXICILINA                                  500MG CX 21 CAP##24,10 
7896181916987##AMOXICILINA                                  500MG CX 21 CAP##14,70 
7896422504133##AMOXICILINA                                  500MG CX 30 CAP##32,91 
7896181917007##AMOXICILINA                                  500MG CX 30 CAP##19,50 
7891317449025##AMOXICILINA                                  500MG CX 60 CAP EMB FRAC##45,50 
7896422504164##AMOXICILINA                                  500MG PO SUS OR FR 150ML+DOS##29,23 
7896181904175##AMOXICILINA                                  875MG CX 14 COMP REV##28,36 
7891317449049##AMOXICILINA                                  875MG CX 42 COMP REV EMB FRAC##95,74 
7896006217336##AMOXICILINA                                  100MG SUS ORAL FR 150ML##27,15 
7896006230649##AMOXICILINA                                  500MG CX 15 CAP##16,11 
7896006230618##AMOXICILINA                                  500MG CX 21 CAP##22,33 
7896006230632##AMOXICILINA                                  500MG CX 30 CAP##30,46 
7896006217305##AMOXICILINA                                  50MG SUS ORAL FR 150ML##20,03 
7896523208510##AMOXICILINA                                  100MG/ML PO SUS OR FR 150ML+CM##26,67 
7898361880576##AMOXICILINA                                  100MG/ML PO SUS ORAL FR 150ML+CM##40,63 
7896472504251##AMOXICILINA                                  100MG/ML PO SUS ORAL FR 15G+COP X 150ML##34,10 
7891317001575##AMOXICILINA                                  125MG/5ML SUS FR 150ML##10,44 
7896112128052##AMOXICILINA                                  250MG/5ML PO SUS FR 150ML+CM##19,16 
7891317001568##AMOXICILINA                                  250MG/5ML SUS FR 150ML##13,69 
7891317005054##AMOXICILINA                                  400MG/5ML SUS FR 100ML+DOS##20,64 
7897076906021##AMOXICILINA                                  50 MG/ML C/ 150 ML##20,92 
7898912189325##AMOXICILINA                                  500MG CX 100 CAP HOSP##94,49 
7898912189356##AMOXICILINA                                  500MG CX 1000 CAP HOSP##944,90 
7898361886127##AMOXICILINA                                  500MG CX 140 CAP EMB HOSP##203,34 
7896112119524##AMOXICILINA                                  500MG CX 15 CAP##9,55 
7891317001551##AMOXICILINA                                  500MG CX 15 CAP##12,02 
7898361880965##AMOXICILINA                                  500MG CX 15 CAP##23,35 
7896472512263##AMOXICILINA                                  500MG CX 15 CAP##22,07 
7898912189080##AMOXICILINA                                  500MG CX 15 CAP##12,41 
7895296084017##AMOXICILINA                                  500MG CX 15 CAP##16,52 
7898912189332##AMOXICILINA                                  500MG CX 200 CAP HOSP##188,98 
7891317001636##AMOXICILINA                                  500MG CX 21 CAP##16,45 
7896112113737##AMOXICILINA                                  500MG CX 21 CAP##13,45 
7898361880972##AMOXICILINA                                  500MG CX 21 CAP##30,64 
7896472512270##AMOXICILINA                                  500MG CX 21 CAP##28,94 
7896523208107##AMOXICILINA                                  500MG CX 21 CAP##11,69 
7898912189097##AMOXICILINA                                  500MG CX 21 CAP##15,39 
7895296218061##AMOXICILINA                                  500MG CX 21 CAP##24,10 
7897076908247##AMOXICILINA                                  500MG CX 21 COMP##22,34 
7891317001667##AMOXICILINA                                  500MG CX 30 CAP##20,70 
7897076908254##AMOXICILINA                                  500MG CX 30 CAP##29,90 
7896112113744##AMOXICILINA                                  500MG CX 30 CAP##19,11 
7898361880989##AMOXICILINA                                  500MG CX 30 CAP##40,09 
7898912189509##AMOXICILINA                                  500MG CX 30 CAP##27,37 
7895296218054##AMOXICILINA                                  500MG CX 30 CAP##34,99 
7898361880958##AMOXICILINA                                  500MG CX 350 CAP EMB HOSP##505,45 
7898912189349##AMOXICILINA                                  500MG CX 500 CAP HOSP##472,45 
7898361886110##AMOXICILINA                                  500MG CX 70 CAP EMB HOSP##101,68 
7896112127826##AMOXICILINA                                  500MG PO SUS OR FR 60ML+CM##7,66 
7891317001650##AMOXICILINA                                  500MG/5ML SUS FR 150ML##21,53 
7896523208473##AMOXICILINA                                  50MG/ML PO SUS OR FR 150ML+CM##11,69 
7896523208459##AMOXICILINA                                  50MG/ML PO SUS OR FR X 60ML+CM##8,50 
7898361880569##AMOXICILINA                                  50MG/ML PO SUS ORAL FR 150ML+CM##27,31 
7896472504176##AMOXICILINA                                  50MG/ML PO SUS ORAL FR 3G+COP X 60ML##10,92 
7896472504138##AMOXICILINA                                  50MG/ML PO SUS ORAL FR 7,5G+COP X 150ML##21,82 
7891317008406##AMOXICILINA                                  875MG CX 14 COMP##31,91 
7895296193016##AMOXICILINA                                  875MG CX 14 COMP REV##30,08 
7896181919452##AMOXICILINA + CLAVULANATO DE POTASSIO        875+125MG CX14##76,07 
7896181919469##AMOXICILINA + CLAVULANATO DE POTASSIO        875+125MG CX20##116,74 
7896658010446##AMOXICILINA TRIIDRATADA                      250MG/5ML PO SUS OR FR 150ML+SER DOS X 10ML##16,24 
7896658010460##AMOXICILINA TRIIDRATADA                      400MG/5ML PO SUS OR FR 100ML+SER DOS X 10ML##18,29 
7896658011429##AMOXICILINA TRIIDRATADA                      500MG CX 15 CAP##10,67 
7896658001857##AMOXICILINA TRIIDRATADA                      500MG CX 21 CAP##14,70 
7896658011443##AMOXICILINA TRIIDRATADA                      500MG CX 30 CAP##19,50 
7896658010347##AMOXICILINA TRIIDRATADA                      875MG CX 14 COMP REV##28,36 
7896181900498##AMOXICILINA+CLAV DE POTASSIO                 400+57MG/5ML PO SUS OR FR 70ML##49,29 
7896004703428##AMOXICILINA+CLAV POTASSIO                    250MG/5ML SUS ORAL FR 75ML##33,93 
7896004720746##AMOXICILINA+CLAV POTASSIO                    400+57MG SUS ORAL FR 70ML##49,70 
7898095340308##AMOXICILINA+CLAV POTASSIO                    50+12,5MG SUS ORAL FR 75ML##34,25 
7896004703404##AMOXICILINA+CLAV POTASSIO                    500+125MG CX 12 COMP##42,92 
7896004703411##AMOXICILINA+CLAV POTASSIO                    500+125MG CX 18 COMP##64,22 
7898095340285##AMOXICILINA+CLAV POTASSIO                    500+125MG CX 18 COMP REV##65,22 
7898095340261##AMOXICILINA+CLAV POTASSIO                    500+125MG CX 6 COMP REV##21,64 
7894916143875##AMOXICILINA+CLAV POTASSIO                    875+125MG CX 12 COMP##70,11 
7896004719580##AMOXICILINA+CLAV POTASSIO                    875+125MG CX 12 COMP REV##70,11 
7896004719597##AMOXICILINA+CLAV POTASSIO                    875+125MG CX 14 COMP REV##84,44 
7894916143868##AMOXICILINA+CLAV POTASSIO                    875+125MG CX 14 COMP REV##84,44 
7897595604323##AMOXICILINA+CLAV POTASSIO                    125MG/5ML FR 100ML##23,03 
7897595605269##AMOXICILINA+CLAV POTASSIO                    125MG/5ML FR 75ML##17,27 
7897595605276##AMOXICILINA+CLAV POTASSIO                    250+62,5MG/5ML PO SUS FR FR 75ML+CD##30,88 
7897595604330##AMOXICILINA+CLAV POTASSIO                    250MG/5ML FR 100ML##41,17 
7897595614384##AMOXICILINA+CLAV POTASSIO                    400+57,5MG SUS ORAL FR 70ML##39,46 
7897595614483##AMOXICILINA+CLAV POTASSIO                    875+125MG CX 12 COMP REV##79,04 
7897595614490##AMOXICILINA+CLAV POTASSIO                    875+125MG CX 20 COMP REV##116,79 
7897595606211##AMOXICILINA+CLAV POTASSIO                    875+125MG FR X 14 COMP REV##83,49 
7891317003371##AMOXICILINA+CLAV POTASSIO                    1G INJ CX 10 FA##317,26 
7898361880514##AMOXICILINA+CLAV POTASSIO                    1G+200MG SOL INJ IV 10FA X 30ML##330,94 
7895296219013##AMOXICILINA+CLAV POTASSIO                    250MG/5ML PO SUS ORAL FR 75ML##34,74 
7897076912206##AMOXICILINA+CLAV POTASSIO                    400MG+57MG/5ML SUS ORAL FR 70ML+CM##44,25 
7895296246026##AMOXICILINA+CLAV POTASSIO                    500+125MG CX 18 COMP REV##64,86 
7895296246019##AMOXICILINA+CLAV POTASSIO                    500+125MG CX 6 COMP REV##20,63 
7891317422042##AMOXICILINA+CLAV POTASSIO                    875+125MG FR 14 COMP##76,19 
7891317461089##AMOXICILINA+CLAV POTASSIO                    875+125MG FR 20 COMP##116,84 
7896004720210##AMOXICILINA+CLAVULANATO DE POTASSIO          400+57MG FR 70ML##49,70 
7896004719603##AMOXICILINA+CLAVULANATO DE POTASSIO          875+125MG CX 12 COMP REV##70,11 
7896004719610##AMOXICILINA+CLAVULANATO DE POTASSIO          875+125MG CX 14 COMP REV##84,44 
7897595624635##AMOXICILINA+CLAVULANATO DE POTASSIO          500+125MG CX 14 COMP REV##42,91 
7897595624642##AMOXICILINA+CLAVULANATO DE POTASSIO          500+125MG CX 21 COMP REV##64,21 
7891317469283##AMOXICILINA+CLAVULANATO DE POTASSIO          400+57MG/5ML PO SUS OR FR 70ML##48,51 
7896015556808##AMOXIL                                       125MG SUS FR 150ML##29,81 
7896015556983##AMOXIL                                       250MG SUS FR 150ML##41,96 
7896015556921##AMOXIL                                       500MG CX 15 CAP##35,91 
7896015556990##AMOXIL                                       500MG CX 21 CAP##47,13 
7896015557027##AMOXIL                                       500MG CX 30 CAP##61,67 
7896015580308##AMOXIL                                       500MG SUS FR 150ML##62,51 
7896015557096##AMOXIL BD                                    200MG SUS FR 100ML##21,34 
7896015557119##AMOXIL BD                                    400MG SUS FR 100ML##25,04 
7896015556877##AMOXIL BD                                    875MG CX 14 COMP##34,91 
7896015510008##AMOXIL BD                                    875MG CX 20 COMP##45,64 
7896523200958##AMOXIMED                                     250MG/5ML PO SUS OR FR 150ML##11,69 
7896523207421##AMOXIMED                                     250MG/5ML PO SUS ORAL 50 FR X 150ML HOSP##276,33 
7896523207216##AMOXIMED                                     500MG CX 630 CAP EMB HOSP##174,04 
7896523200965##AMOXIMED                                     500MG/5ML CX 21 CAP##11,69 
7896523202815##AMOXIMED                                     500MG/5ML PO SUS FR 150ML##23,57 
7897595600905##AMOXINA                                      250MG SUSP C/ 60 ML##13,90 
7897595601636##AMOXINA                                      500MG CX 12 CAP##16,43 
7897595601629##AMOXINA                                      500MG CX 21 CAP##22,76 
7897595600912##AMOXINA                                      500MG CX 8 CAP##13,90 
7896472509263##AMPICILAB                                    250MG SUSP 60ML##16,15 
7896472503148##AMPICILAB                                    3G PO SUS ORAL CX 50 FR##144,47 
7896472508303##AMPICILAB                                    500MG CX 10 CAP##17,35 
7896472502905##AMPICILAB                                    500MG CX 200 CAP EMB HOSP##94,03 
7896472502912##AMPICILAB                                    500MG CX 600 CAP EMB HOSP##282,06 
7896714203546##AMPICILINA                                   250ML PO SUS OR FR 150ML+CP MED X 5ML##25,46 
7896714203560##AMPICILINA                                   250ML PO SUS OR FR 60ML+CP MED X 5 ML##9,38 
7896004715766##AMPICILINA                                   3G SUS FR 60ML##11,29 
7898148291120##AMPICILINA                                   500MG CX 12 CAP##14,75 
7896004715742##AMPICILINA                                   500MG CX 12 COMP##16,53 
7898148291137##AMPICILINA                                   500MG CX 21 CAP##22,89 
7896004715759##AMPICILINA                                   500MG CX 24 COMP##32,28 
7898148291175##AMPICILINA                                   500MG CX 480 COMP HOSP##249,95 
7896004715735##AMPICILINA                                   500MG CX 6 COMP##8,27 
7898148291168##AMPICILINA                                   500MG CX 840 CAP EMB HOSP##361,02 
7898148290710##AMPICILINA                                   50MG/ML SUS OR FR 150ML+CM##17,93 
7899547502237##AMPICILINA                                   50MG/ML SUS OR FR X 150ML+CM##16,94 
7896004715773##AMPICILINA                                   7,5G SUS FR 150ML##30,88 
7896472507832##AMPICILINA                                   500MG CX 10 CAP##8,01 
7897595604880##AMPICILINA                                   500MG CX 12 CAP GEL DURA##14,64 
7897595608109##AMPICILINA                                   500MG CX 18 CAP GEL DURA##21,91 
7897595604903##AMPICILINA                                   500MG CX 24 CAP GEL DURA##32,28 
7891317008987##AMPICILINA                                   500MG CX 12 COMP##14,77 
7899547502220##AMPICILINA                                   50MG/ML CX 50 FR X 60ML+50CP EMB HOSP##236,16 
7899547502220##AMPICILINA                                   50MG/ML SUS CX 50 FR X 60ML+CM EMB HOSP##249,98 
7891317449131##AMPICILINA - FRACIONADO                      500MG CAP GEL CT BL AL PLAS INC X 48 EMB FRAC##59,06 
7898361880743##AMPICILINA SODICA                            1G PO SOL INJ CX 50FA EMB HOSP##317,25 
7898361881726##AMPICILINA SODICA                            1G PO SOL INJ X 12FA##76,37 
7898361881719##AMPICILINA SODICA                            1G PO SOL INJ X 1FA##6,34 
7898361881696##AMPICILINA SODICA                            500MG PO SOL INJ CX 12FA##26,44 
7898361884611##AMPICILINA SODICA                            500MG PO SOL INJ X 50FA EMB HOSP##110,18 
7898924600672##AMPICILINA SODICA + SULBACTAM SODICA         1G +0,5G PO SOL INJ CT FA X 30ML##20,35 
7898924600702##AMPICILINA SODICA + SULBACTAM SODICA         2G +1G PO P SOL INJ CT FA  X 30ML##35,86 
7898924600757##AMPICILINA SODICA + SULBACTAM SODICA         1G + 0,5G PO SOL INJ CX100 FA X 30##2.035,30 
7898924600696##AMPICILINA SODICA + SULBACTAM SODICA         1G + 0,5G PO SOL INJ CX25 FA X 30##508,82 
7898924600740##AMPICILINA SODICA + SULBACTAM SODICA         1G+0,5G PO SOL INJ CX50 FA 30ML EMB HOSP##1.017,66 
7898924600771##AMPICILINA SODICA + SULBACTAM SODICA         2G + 1G PO SOL INJ CX100 FA X 30ML EMB HOSP##3.586,69 
7898924600726##AMPICILINA SODICA + SULBACTAM SODICA         2G + 1G PO SOL INJ CX25 FA X 30ML EMB HOSP##896,69 
7898924600764##AMPICILINA SODICA + SULBACTAM SODICA         2G + 1G PO SOL INJ CX50 FA X30 ML EMB HOSP##1.793,34 
7898208146094##AMPICILINA SODICA+SULBACTAM SODICA           1+0,5G PO SOL INJ CX 20FA X 3,2ML HOSP##395,09 
7898208149385##AMPICILINA SODICA+SULBACTAM SODICO           2+1G PO SOL INJ CX 20 FA X 6,4ML EMB HOSP##646,42 
7898924600689##AMPICILINA+SULBACTAM                         1,5G PO INJ CX 10FA##203,52 
7898924600719##AMPICILINA+SULBACTAM                         3G PO INJ CX 10FA##358,67 
7898361881641##AMPICILINA+SULBACTAM                         1+0,5G PO SOL INJ 20FA X 30ML EMB HOSP##407,06 
7898361881658##AMPICILINA+SULBACTAM                         1+0,5G SOL INJ 30FA X 30ML EMB HOSP##610,58 
7898361881665##AMPICILINA+SULBACTAM                         2+1G PO SOL INJ 20FA X 30ML EMB HOSP##717,32 
7898361881672##AMPICILINA+SULBACTAM                         2+1G PO SOL INJ 30FA X 30ML EMB HOSP##1.076,02 
7891317007577##AMPLACILINA                                  500MG CX 12 CAP##13,90 
7898208141129##AMPLATIL                                     1G PO SOL INJ CX 50FA X 10ML EMB HOSP##187,91 
7898208141112##AMPLATIL                                     500MG PO SOL INJ CX 50FA X 10ML EMB HOSP##169,55 
7896523201115##AMPLAVIT                                     15+5+5MG CX 30 DR##23,66 
7896070600126##AMPLICTIL                                    100MG CX 20 COMP REV##6,18 
7896070600034##AMPLICTIL                                    25MG CX 20 COMP REV##4,14 
7896070600201##AMPLICTIL                                    40MG SOL ORAL FR GTS 20ML##5,00 
7896070600065##AMPLICTIL                                    5MG/ML SOL INJ CX 5 AMP X 50ML##8,90 
7897322700021##AMPLIUM                                      500MG CX 4 COMP##6,13 
7897322700014##AMPLIUM                                      500MG CX 8 COMP##10,21 
7897322701448##AMPLIUM G                                    20/30MG CREME GIN BG 80G+14APLIC##25,95 
7898060139050##AMPLOGIN                                     20+30MG CREME VAG BG 35G+7APLIC##39,50 
7897406110661##AMPLOSPEC                                    1G CX 1FR+1AMP##6,96 
7897406111156##AMPLOSPEC                                    1G CX 50FR##312,98 
7898049790531##AMPRAX                                       40MG CX 30 COMP##4,03 
7898049790548##AMPRAX                                       40MG CX 40 COMP##5,37 
7898049792146##AMPRAX                                       40MG CX 500 COMP EMB HOSP##56,82 
7898049793969##AMPRAX                                       80MG CX 30 COMP##7,94 
7896676422269##AMYTRIL                                      25MG CX 30 COMP REV##17,31 
7896676413052##AMYTRIL                                      10MG CX 10 COMP REV##2,08 
7896676413045##AMYTRIL                                      10MG CX 30 COMP##7,04 
7896676400083##AMYTRIL                                      25MG CX 20 CAP##11,96 
7896676403220##AMYTRIL                                      25MG CX 200 COMP EMB HOSP##119,65 
7896676410518##AMYTRIL                                      75MG CX 20 COMP##34,41 
7896676410501##AMYTRIL                                      75MG CX 200 COMP##370,70 
7896676414639##ANA-FLEX                                     35+300+50MG CX 10 COMP##3,19 
7896676414615##ANA-FLEX                                     35+300+50MG CX 200 COMP##64,49 
7896676414653##ANA-FLEX                                     35+300+50MG CX 30 COMP##9,63 
7896676414622##ANA-FLEX                                     35+300+50MG CX 4 COMP##1,22 
7896676414660##ANA-FLEX                                     35+300+50MG SOL OR FR 20ML##9,05 
7896830500260##ANABRON                                      XPE FR 100ML ADU##13,58 
7896830500253##ANABRON                                      XPE FR 100ML PED##9,47 
7896026300704##ANADOR                                       500MG CX 120BL X 4 COMP##69,20 
7896026300988##ANADOR                                       500MG CX 24 COMP##12,01 
7896026303408##ANADOR                                       500MG CX 240BL X 4 COMP E.M##138,51 
7896026301077##ANADOR                                       500MG CX 512BL X 4 COMP E.M##295,19 
7896026300490##ANADOR                                       500MG SOL ORAL FR GTS 10ML##6,53 
7896026300889##ANADOR                                       500MG SOL ORAL FR GTS 20ML##11,87 
7894916502740##ANAEROCID                                    300MG CX 30 CAP##60,12 
7894916502757##ANAEROCID                                    20MG CREME VAG BG 20G+APLIC##23,56 
7894916502764##ANAEROCID                                    20MG CREME VAG BG 40G+APLIC##37,11 
7896261000018##ANAFRANIL                                    25MG CX 20 DR##23,89 
7896261001480##ANAFRANIL SR                                 75MG CX 20 COMP LIB LEN##50,89 
7898060138015##ANAGRIPE                                     100+2MG SOL ORAL GTS FR X 20ML##9,27 
7898060138022##ANAGRIPE                                     200+3+3MG/5ML SOL FR X 100ML##15,20 
7898060138909##ANAGRIPE                                     400+4+4MG CX 20 CAP GEL##12,70 
7896112141167##ANALGESIN                                    100MG CX 20 ENV X 10 COMP MAST INF E.M##26,03 
7896112141150##ANALGESIN                                    500MG CX 10 ENV X 10 COMP ADU E.M.##33,02 
7896006230267##ANALGEX C                                    500MG CX 200 COMP##66,19 
7898272940253##ANALGISEN                                    500MG CX 200 COMP EMB HOSP##102,98 
7898272940277##ANALGISEN                                    750MG CX 20 COMP##7,73 
7898272940260##ANALGISEN                                    750MG CX 50BL X 4 COMP##77,31 
7896181906308##ANANGOR                                      50MG CX 10 CAP##28,70 
7896181906186##ANANGOR                                      50MG SOL INJ 6FA X 1ML##31,30 
7896181906155##ANANGOR                                      50MG SOL INJ 6FA X 2ML##44,67 
7896094902268##ANAPYON                                      ENX BUCAL ANTISSEPTICO FR 100ML##20,80 
7897595600110##ANARTRIT                                     20MG CX 12 CAP##8,64 
7897322701769##ANASEPTIL                                    5MUI+500+5UI+635,3MG PO TB 10##8,06 
7896094207431##ANASTROLIBBS                                 1MG CX 28 COMP REV##530,41 
7896094208131##ANASTROLIBBS                                 1MG CX 30 COMP REV##568,29 
7891317458850##ANASTROZOL                                   1MG CX 30 COMP REV##412,86 
7891317433253##ANATEN                                       5+25MG CX 30 CAP##43,30 
7891317433246##ANATEN                                       5+50MG CX 30 CAP##50,94 
7896014674008##ANCLOMAX                                     200MG CX 20 COMP##68,15 
7896014674206##ANCLOMAX                                     400MG CX 20 COMP##125,39 
7898049794416##ANCLORIC                                     5+50MG CX 30 COMP##10,95 
7896094200463##ANCORON                                      100MG CX 20 COMP REV##10,47 
7896094207844##ANCORON                                      100MG CX 30 COMP REV##13,65 
7896094200081##ANCORON                                      200MG CX 20 COMP REV##19,54 
7896094207851##ANCORON                                      200MG CX 30 COMP REV##27,33 
7896094200173##ANCORON                                      200MG/ML FR 30ML##38,11 
7896094200166##ANCORON                                      50MG/ML SOL INJ CX 50 AMP X3ML##118,13 
7896658005190##ANDANTOL                                     7,5MG GEL BG 40##10,49 
7891317477141##ANDOLBA                                      4,5+0,5+0,5% AER TOP 43##17,53 
7891317472764##ANDOLBA                                      45+5+5MG/G CREM DERM BG X 30##12,37 
7896006216001##ANDRIODERMOL                                 PO TOP TB 50##16,85 
7896006214007##ANDRIODERMOL                                 SOL TOP FR 50ML##11,02 
7891106906289##ANDROCUR                                     100 MG COMP X  20##198,50 
7891106907460##ANDROCUR                                     50 MG COMP X 20##105,41 
7896112145745##ANDROFLOXIN                                  400MG CX 14 COMP REV##23,63 
7898948648032##ANDROGEL                                     25+10MG/G GEL TOP 30 ENV X 2,5##76,09 
7898948648087##ANDROGEL                                     50+10MG/G GEL TOP 30 ENV X 5##152,19 
7896083402687##ANDROSTEN                                    250MG CX 15 COMP##27,13 
7896083402694##ANDROSTEN                                    250MG CX 30 COMP##54,22 
7896083410248##ANDROSTEN                                    94MG CX 30 COMP##56,93 
7897572001794##ANDROXON                                     40MG CX 30 CAP##47,48 
7898014560534##ANEMIFER                                     CX 50 DR##8,05 
7898014560510##ANEMIFER                                     FR 30ML##5,77 
7898014560527##ANEMIFER                                     XPE 100ML##6,60 
7897406112849##ANESEVO                                      FR 100ML##515,50 
7897406112283##ANESEVO                                      FR 250ML##1.288,75 
7897406114706##ANESEVO                                      FR 50ML##257,74 
7896548197158##ANESTALCON                                   0,5% SOL OFT GTS FR 5ML##5,53 
7897316801079##ANESTESICO                                   SOL OFT COL FR 10ML##6,08 
7893736009224##ANFLAT                                       40MG CX 20 COMP##10,03 
7893736009309##ANFLAT                                       75MG SOL FR GTS 10ML##8,11 
7896676408140##ANFORICIN                                    50MG CX 25FR X 10ML EMB HOSP##502,13 
7896014614004##ANFUGINE                                     30+20MG CREME VAG BG 80G+APLIC##14,22 
7896014617005##ANFUGITARIN                                  CREME VAG BG 80G+APLIC##18,00 
7891106904155##ANGELIQ                                      1+2MG CX 28 COMP##61,07 
7898216362219##ANGILESS                                     100MG CX 30 COMP##25,34 
7898216362196##ANGILESS                                     25MG CX 30 COMP##8,02 
7898216362202##ANGILESS                                     50MG CX 30 COMP##16,11 
7898908753271##ANGIN-HEEL                                   FR 50 COMP SUBLINGUAIS##27,49 
7891317007256##ANGINO RUB                                   3MG CX 16 PAST SB MEL/LIMAO##8,93 
7891317002589##ANGINO RUB                                   3MG CX 16 PAST SB MENTA##8,93 
7891317007249##ANGINO RUB                                   3MG CX 16 PAST SB MORANGO##8,93 
7896422526746##ANGIO II                                     160MG CX 30 COMP REV##61,57 
7896422526814##ANGIO II                                     320MG CX 30 COMP REV##60,36 
7896422526678##ANGIO II                                     80MG CX 30 COMP REV##61,57 
7896672202056##ANGIOLONG                                    30MG CX 50 COMP##11,41 
7896672202063##ANGIOLONG                                    60MG CX 50 COMP##22,12 
7896672202094##ANGIOLONG                                    AP 180MG CX 20 CAP##40,42 
7896672202087##ANGIOLONG                                    AP 300MG CX 10 CAP##34,60 
7896672202070##ANGIOLONG                                    AP 90MG CX 20 CAP##24,80 
7896714215297##ANGIOLOT                                     15+90MG CX 20 DR##22,38 
7898096577765##ANGIOPRIL                                    10MG CX 30 COMP.##22,12 
7896181903420##ANGIPRESS                                    100MG CX 28 COMP##22,47 
7896181916260##ANGIPRESS                                    100MG CX 30 COMP##24,08 
7896181901723##ANGIPRESS                                    25MG CX 28 COMP##8,65 
7896181916222##ANGIPRESS                                    25MG CX 30 COMP##9,25 
7896181902348##ANGIPRESS                                    50MG CX 28 COMP##13,70 
7896181916246##ANGIPRESS                                    50MG CX 30 COMP##14,69 
7896181903079##ANGIPRESS CD                                 100+25MG CX 28 COMP##23,31 
7896181916109##ANGIPRESS CD                                 100+25MG CX 30 COMP##24,98 
7896181916093##ANGIPRESS CD                                 100/25MG BLX15##12,50 
7896181901259##ANGIPRESS CD                                 25+12,5MG CX 28 COMP##9,45 
7896181916062##ANGIPRESS CD                                 25+12MG CX 30 COMP##10,15 
7896181916055##ANGIPRESS CD                                 25/12,5MG CX15##5,06 
