7896016806308##BARACLUDE                                    0,5MG CX 30 COMP##772,12 
7896006291657##BIOGRIPE                                     400+4+4MG CX 100 CAP GEL##13,07 
7896006291640##BIOGRIPE                                     400+4+4MG CX 100CAP GEL##59,09 
7898014560169##BIOHEPATON                                   60 FLAC X 10ML##126,07 
7898014561029##BIOHEPATON                                   SOL OR 150ML##19,12 
7898183351117##BIOLIGHT C                                   CX 60 COMP##36,19 
7896658012211##BIOMAG                                       10MG X 10 CAP##8,59 
7896658007019##BIOMAG                                       10MG X 30 CAP##38,60 
7896658012228##BIOMAG                                       15MG X 10 CAP##9,53 
7896658007040##BIOMAG                                       15MG X 30 CAP##42,85 
7896181901679##BIOMATROP                                    4UI PO LIOF INJ 1FA+DIL X 1ML##151,63 
7891721028694##BION 3                                       FR 30 COMP##36,26 
7896083409136##BIOSLIM QUITOSANA                            500MG CX 60 COMP##33,41 
7896083409167##BIOSLIM SHAKE                                400G BAUNILHA DIET##18,25 
7896083409143##BIOSLIM SHAKE                                400G CHOCOLATE DIET##18,25 
7896083409174##BIOSLIM SHAKE                                400G MACA BANANA DIET##18,25 
7896083409150##BIOSLIM SHAKE                                400G MORANDO DIET##18,25 
0048582802209##BIOTENE                                      ENXAGUE BUCAL FR 240ML##18,38 
0048582512016##BIOTENE                                      GEL ORAL BALANCE BG 42##27,56 
7896094903067##BIOTONICO N                                  466+833+1+0,1+2+10MCL SOL FR 400ML##13,95 
7896046383084##BIOTRUE                                      300+120ML SOL MULT EST PACK ON NOVA TAMPA##57,56 
7896046383091##BIOTRUE                                      SOL MULT X  120ML NOVA TAMPA##35,01 
0310119038345##BIOTRUE                                      SOLUCAO MULTIUSO - 300 ML##41,07 
0310119037829##BIOTRUE                                      SOL 120ML##29,36 
7898100264025##BIOVICERIN                                   CX 100 FLAC X 5ML##240,53 
7898100264018##BIOVICERIN                                   CX 6 FLAC X 5ML##19,77 
7898208143901##BIOZATIN                                     1.200.000UI CX 50##202,80 
7898208143864##BIOZATIN                                     600.000UI CX 50##150,67 
7896658026850##BIOZINC KIDS                                 FR 75ML##14,81 
7897076914132##BIPOGINE                                     100MG CX 30 COMP##60,82 
7897076914095##BIPOGINE                                     25MG CX 30 COMP##21,40 
7897076914118##BIPOGINE                                     50MG CX 30 COMP##34,91 
7898216362493##BIPROSLAN                                    6,43+2,63MG/ML SUS INJ CX 50 AMP+SER HOSP##327,57 
7898216360352##BIPROSLAN                                    6,43+2,63MG/ML SUS OR X 1ML##13,11 
7896006257943##BISALAX                                      5MG CX 150 DR##29,71 
7896006257929##BISALAX                                      5MG CX 20 DR##3,95 
7896004810140##BISMU-JET                                    SOL FR GTS 20ML##16,42 
7898216363803##BISOLPHAR                                    0,8MG/ML XPE CX 50 FR X 120ML+CP MED HOSP##187,91 
7898216363780##BISOLPHAR                                    0,8MG/ML XPE FR 120ML-CP MED##7,30 
7898216363797##BISOLPHAR                                    1,6MG XPE 120ML MED##8,88 
7898216363810##BISOLPHAR                                    1,6MG XPE 50FR 120ML MED##241,96 
7896026303132##BISOLTUSSIN                                  2,0MG XPE FR X 120ML##8,38 
7896026301374##BISOLVON                                     0,80MG XPE EXPEC 120ML INF##11,69 
7896026301367##BISOLVON                                     1,60MG XPE EXPEC FR 120ML ADU##13,93 
7896026300346##BISOLVON                                     2MG SOL EXPEC 50ML##10,01 
7898146824474##BISSULFATO DE CLOPIDOGREL                    75MG CT BL 100 COM REV##280,20 
7898146824696##BISSULFATO DE CLOPIDOGREL                    75MG CT BL 14 COM REV##45,66 
7898146824276##BISSULFATO DE CLOPIDOGREL                    75MG CT BL 28 COM REV##82,91 
7896422516105##BISSULFATO DE CLOPIDOGREL                    75MG CX 14 COMP##56,32 
7896658011801##BISSULFATO DE CLOPIDOGREL                    75MG CX 15 COMP REV##49,67 
7896181917397##BISSULFATO DE CLOPIDOGREL                    75MG CX 15 COMP REV##49,67 
7896422516112##BISSULFATO DE CLOPIDOGREL                    75MG CX 28 COMP REV##104,77 
7896658011825##BISSULFATO DE CLOPIDOGREL                    75MG CX 30 COMP REV##94,94 
7896181917410##BISSULFATO DE CLOPIDOGREL                    75MG CX 30 COMP REV##94,94 
7891317145545##BISSULFATO DE CLOPIDOGREL                    75MG CX 150 COMP REV EMB FRAC##521,22 
7898146824450##BISSULFATO DE CLOPIDOGREL                    75MG CT BL 30 COMP REV##89,37 
7891317496753##BISSULFATO DE CLOPIDOGREL                    75MG CX 30 COMP REV##104,25 
7897076912374##BISSULFATO DE CLOPIDOGREL                    75MG ESTOJO 14 COMP##46,95 
7897076912336##BISSULFATO DE CLOPIDOGREL                    75MG ESTOJO 28 COMP##93,33 
7896094904378##BISUISAN                                     3,227+0,178MG DISPLAY 12ENV PO 5,5##20,33 
7896094904385##BISUISAN                                     3,227+0,178MG DISPLAY 25ENV PO 5,5##42,30 
7896094904323##BISUISAN                                     3,2450+0,1790MG PO FR 50##15,19 
7896004720609##BISURAN                                      4MG/5ML XPE FR 120ML INF##6,66 
7896004733784##BISURAN                                      8MG/5ML XPE ADU FR 120ML##8,97 
7896014649006##BLAUBIMAX                                    20% INJ 1FA X 50ML+EQ##228,51 
7897473206823##BLAZTERE                                     4MG PO LIOF INJ IV CT FA VD INC##444,62 
7891158031335##BLOPRESS                                     16MG CX 30 COMP##98,27 
7891158031311##BLOPRESS                                     8MG CX 30 COMP##87,34 
7896622305820##BLUMEL                                       HEDERA 15MG XPE FR 100ML##31,31 
7896622304267##BLUMEL                                       GUACO 0,0833ML XPE FR 120ML##20,18 
7898569761189##BLUPILL                                      50MG C/ 1 COMP CX 20 COMP REV FRAC##107,67 
7896685301920##BOLDINE                                      100MG CX 30 CAP##22,41 
7897917003513##BOLDO BELFAR                                 CX 12 FLAC X 10ML##27,29 
7897917003520##BOLDO BELFAR                                 CX 60 FLAC X 10ML##121,82 
7897917003506##BOLDO BELFAR                                 FR 100ML##15,97 
7896004726847##BONAGRAN                                     70MG CX 4 COMP##31,66 
7896112417446##BONALEN                                      10MG CX 30 COMP REV##80,34 
7896241217672##BONALEN                                      70MG CX 4 COMP REV##31,78 
7896181900818##BONAR                                        15UI PO LIOF INJ FA X 5ML##250,41 
7703333007618##BONAVEN                                      LOCAO FR 120ML##43,43 
7703333007601##BONAVEN                                      SAB FR 120##33,98 
7894916508483##BONECAL D                                    600MG+400UI FR X 30 COMP REV##19,42 
7894916508155##BONECAL D                                    600MG+400UI FR X 60 COMP REV##33,23 
7891106904131##BONEFOS                                      400MG CX 30 CAP GEL##323,20 
7891106904148##BONEFOS                                      60MG/ML SOL INJ 5AMP X 5ML##416,33 
7897595610973##BONEPREV                                     70MG CX 4 COMP##15,80 
7896714218045##BONTOSS                                      0,8MG/ML XPE FR 120ML INF##9,95 
7896714217956##BONTOSS                                      1,6MG/ML XPE FR 120ML ADU##11,89 
7896226505299##BONVIVA                                      150MG CX 1 COMP##142,58 
7896226505992##BONVIVA                                      3MG SOL INJ CX 1 SER X 3ML##301,08 
7898565580548##BORTEZOMIBE                                  3,5MG PO LIOF INJ 1FA EMB HOSP##2.302,93 
7898577810527##BORTYZ                                       3,5MG PO LIOF INJ FA##2.302,93 
7640111930648##BOSENTANA                                    125MG CX 60 COMP REV##2.906,46 
7640111930631##BOSENTANA                                    62,5MG CX 60 COMP REV##1.453,23 
7892953001554##BOSENTANA                                    125MG CX 60 COMP REV##9.001,85 
0310119052440##BOSTON SIMPLUS                               FR 120ML (+12% IPI)##49,62 
7897316802939##BOTOX                                        FR AMP 100UI##1.421,98 
7897316805015##BOTOX                                        FR AMP 200UI##2.843,97 
7897316804827##BOTOX                                        FR AMP 50UI##710,99 
7898149937263##BOTULIFT                                     100U PO LIOF INJ CX 1FA##1.313,63 
7898149937270##BOTULIFT                                     100U PO LIOF INJ CX 5FA##6.568,22 
7898149939267##BOTULIFT                                     200U PO LIOF INJ CX 1FA##2.627,26 
7898149939274##BOTULIFT                                     200U PO LIOF INJ CX 5FA##13.136,34 
7898149939243##BOTULIFT                                     50U PO LIOF INJ CX 1FA##656,81 
7898149939250##BOTULIFT                                     50U PO LIOF INJ CX 5FA##3.284,08 
7896672202186##BRAMITOB                                     300MG CX 56FLAC X 4ML##5.760,97 
8902220107649##BRANTA                                       50+5MG CX 30 COMP##40,07 
7894916507936##BRASART                                      160MG CX 30 COMP REV##22,99 
7894916507950##BRASART                                      320MG CX 30 COMP REV##22,99 
7894916507912##BRASART                                      80MG CX 30 COMP REV##22,99 
7894916509312##BRASART BCC                                  160+5MG CX 10 COMP REV##9,89 
7894916509305##BRASART BCC                                  160+5MG CX 30 COMP REV##29,63 
7894916510103##BRASART BCC                                  160+5MG CX 60 COMP REV##47,43 
7894916509336##BRASART BCC                                  320+10MG CX 30 COMP REV##29,63 
7894916509329##BRASART BCC                                  320+5MG CX 30 COMP REV##29,63 
7894916509299##BRASART BCC                                  320+5MG CX 60 COMP REV##47,43 
7894916508353##BRASART HCT                                  160+12,5MG CX 30 COMP REV##22,99 
7894916508360##BRASART HCT                                  160+25MG CX 30 COMP REV##22,99 
7894916509084##BRASART HCT                                  320+12,5MG CX 30 COMP REV##22,99 
7894916508377##BRASART HCT                                  320+25MG CX 30 COMP REV##22,99 
7894916508346##BRASART HCT                                  80+12,5MG CX 30 COMP REV##22,99 
8902220111622##BRATOR                                       160MG CX 10 COMP##10,64 
8902220111639##BRATOR                                       160MG CX 30 COMP##31,92 
8902220111585##BRATOR                                       320MG CX 30 COMP##42,56 
8902220111677##BRATOR                                       80MG CX 10 COMP##10,64 
8902220111684##BRATOR                                       80MG CX 30 COMP##31,92 
8902220112384##BRATOR H                                     160+12,5MG CX 10 COMP##12,42 
8902220112407##BRATOR H                                     160+12,5MG CX 30 COMP##37,24 
8902220112445##BRATOR H                                     160+25MG CX 30 COMP##47,88 
8902220112520##BRATOR H                                     320+12,5MG CX 30 COMP##42,56 
8902220112490##BRATOR H                                     320+25MG CX 30 COMP##47,88 
8902220112346##BRATOR H                                     80+12,5MG CX 10 COMP##12,42 
8902220112377##BRATOR H                                     80+12,5MG CX 30 COMP##37,24 
7896658016660##BRAVAN                                       160MG CX 10 COMP REV##7,81 
7896658016677##BRAVAN                                       160MG CX 30 COMP REV##23,47 
7896658016684##BRAVAN                                       320MG CX 10 COMP REV##7,81 
7896658016691##BRAVAN                                       320MG CX 30 COMP REV##23,47 
7896658016646##BRAVAN                                       80MG CX 10 COMP REV##7,81 
7896658016653##BRAVAN                                       80MG CX 30 COMP REV##23,47 
7896165600536##BRAVELLE                                     75UI CART PO LIOF 1FA+1DIL##118,42 
7898927500016##BRAVITAN                                     2MG CX 20 COMP REV##12,15 
7898927500108##BRAVITAN                                     5MG CX 30 COMP REV##18,20 
7898932797050##BRECILA                                      2MG SOL INJ IM FR X 10ML##130,35 
7898932797067##BRECILA                                      2MG SOL INJ IM FR X 25ML##322,11 
7898932797043##BRECILA                                      2MG SOL INJ IM FR X 5ML##78,49 
5016003145100##BREEZE                                       2 KIT DE MONITORAMENTO GLICEMICO##65,82 
5016003147906##BREEZE                                       2 TIRAS REAGENTE CX 50 UNID.##94,08 
7891106906425##BREEZE                                       2 UNID SOL CONTROLE NORMAL##30,57 
7896685300947##BREFUS                                       XPE FR 100ML ADU##35,56 
7896676405033##BREVIBLOC                                    10MG CX 20FA X 10ML EMB HOSP##838,07 
7896676404869##BREVIBLOC                                    250MG CX 10FA X 10ML EMB HOSP##2.519,15 
7890282800336##BREXIN                                       CX 10 COMP##43,77 
7890282800329##BREXIN                                       CX 5 COMP##22,04 
7896206401191##BRICANYL                                     0,3+13,3MG XPE EXPECT FR 100ML##14,28 
7896206401245##BRICANYL                                     0,3MG XPE BRONCODILATADOR FR 100ML##10,82 
7897572002807##BRIDION                                      200MG SOL INJ 10FA X 2ML##2.695,43 
7896206403478##BRILINTA                                     90MG CX 20 COMP REV##65,97 
7896206403393##BRILINTA                                     90MG CX 30 COMP REV##98,96 
7896206403409##BRILINTA                                     90MG CX 60 COMP REV##197,91 
7897595606952##BROMALEX                                     3MG CX 30 COMP##13,78 
7897595607027##BROMALEX                                     6MG CX 30 COMP##22,06 
7896004720807##BROMAZEPAM                                   2,5MG FR 20ML##7,08 
7896004720814##BROMAZEPAM                                   2,5MG FR GTS 20ML##7,08 
7896004701684##BROMAZEPAM                                   3MG CX 20 COMP##7,44 
7896006254720##BROMAZEPAM                                   3MG CX 20 COMP##7,00 
7896112115250##BROMAZEPAM                                   3MG CX 20 COMP##7,31 
7896004708577##BROMAZEPAM                                   3MG CX 20 COMP##7,35 
7896714212197##BROMAZEPAM                                   3MG CX 20 COMP##8,41 
7896112115267##BROMAZEPAM                                   3MG CX 30 COMP##11,17 
7896004716268##BROMAZEPAM                                   3MG CX 30 COMP##11,23 
7896004716275##BROMAZEPAM                                   3MG CX 30 COMP##9,86 
7896714212203##BROMAZEPAM                                   3MG CX 30 COMP##12,74 
7896006242864##BROMAZEPAM                                   6MG CX 20 COMP##10,26 
7896112113614##BROMAZEPAM                                   6MG CX 20 COMP##11,65 
7896004708584##BROMAZEPAM                                   6MG CX 20 COMP##11,32 
7896714212364##BROMAZEPAM                                   6MG CX 20 COMP##14,54 
7896112113843##BROMAZEPAM                                   6MG CX 30 COMP##17,93 
7896004713762##BROMAZEPAM                                   6MG CX 30 COMP##18,05 
7896004713779##BROMAZEPAM                                   6MG CX 30 COMP##15,63 
7896714212371##BROMAZEPAM                                   6MG CX 30 COMP##21,65 
7891721013034##BROMAZEPAM                                   3MG CX 20 COMP##6,58 
7897595606808##BROMAZEPAM                                   3MG CX 20 COMP##7,33 
7896422505222##BROMAZEPAM                                   3MG CX 20 COMP##8,34 
7896181907268##BROMAZEPAM                                   3MG CX 20 COMP##6,59 
7896006254799##BROMAZEPAM                                   3MG CX 30 COMP##11,40 
7897595606815##BROMAZEPAM                                   3MG CX 30 COMP##11,11 
7896422505963##BROMAZEPAM                                   3MG CX 30 COMP##12,66 
7896181909538##BROMAZEPAM                                   3MG CX 30 COMP##10,16 
7891721013096##BROMAZEPAM                                   6MG CX 20 COMP##10,14 
7897595606877##BROMAZEPAM                                   6MG CX 20 COMP##11,90 
7896181907657##BROMAZEPAM                                   6MG CX 20 COMP##10,18 
7896006242758##BROMAZEPAM                                   6MG CX 30 COMP##16,60 
7897595606884##BROMAZEPAM                                   6MG CX 30 COMP##17,85 
7896422505970##BROMAZEPAM                                   6MG CX 30 COMP##21,48 
7896181909248##BROMAZEPAM                                   6MG CX 30 COMP##15,51 
7891317415891##BROMAZEPAM                                   3MG CX 30 COMP##10,66 
7891317415914##BROMAZEPAM                                   6MG CX 30 COMP##16,28 
7896685302880##BROMELIN                                     SUSP OR FR 100ML##36,00 
7896685300473##BROMELIN                                     SUS ORAL FR 100ML##31,18 
7896685300497##BROMELIN PROPOLIS                            SOL FR 50ML##27,87 
7896004743325##BROMEPINA                                    100MG 2BL X 15 COMP REV##42,64 
7896004743844##BROMEPINA                                    100MG 4BL X 15 COMP REV##77,62 
7894916145435##BROMETO DE IPRATROPIO                        0,25MG FR 20ML##7,59 
7898148299027##BROMETO DE IPRATROPIO                        0,25MG SOL INAL CX 200 FR GOT X 20ML HOSP##703,77 
7898060132785##BROMETO DE IPRATROPIO                        0,25MG/ML SOL INAL FR 20ML##8,44 
7898148299010##BROMETO DE IPRATROPIO                        0,25MG/ML SOL INAL FR GTS 20ML##3,68 
7896004725437##BROMETO DE IPRATROPIO                        SOL INAL FR 20ML##8,68 
7896004725420##BROMETO DE IPRATROPIO                        SOL P/INAL FR 20ML##8,68 
7896006262510##BROMETO DE IPRATROPIO                        0,25MG SOL INAL FR 20ML##7,22 
7896181913252##BROMETO DE IPRATROPIO                        0,25MG SOL INAL FR GTS 20ML##8,28 
7896112114413##BROMETO DE IPRATROPIO                        0,25MG SOL NAS FR GTS 20ML##5,80 
7896714214337##BROMETO DE IPRATROPIO                        0,25MG/ML SOL FR GTS 20ML##8,17 
7895296044011##BROMETO DE IPRATROPIO                        0,25MG/ML SOL INAL 20ML##8,89 
7898148298310##BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SODIC6,67+333,4MG/ML SOL OR FR 20ML##5,11 
7898148298327##BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SODIC6,67+333.4MG/ML SOL OR CX 200 FR X 10ML HOSP##317,18 
7898148298334##BROMETO DE N-BUTILESCOPOLAMINA+DIPIRONA SODIC6,67+3330,4MG/ML SOL OR CX 200 FR X 20ML HOSP##455,74 
7898208148616##BROMETO DE PANCURONIO                        2MG/ML SOL INJ CX 50 AMP X 2ML EMB HOSP##201,53 
7896112166146##BROMETO DE PINAVERIO                         100MG CX 30 COMP REV##35,64 
7896112166153##BROMETO DE PINAVERIO                         100MG CX 60 COMP REV##56,55 
7896112172970##BROMETO DE PINAVERIO                         50MG CX 10 COMP REV##12,22 
7896112151401##BROMETO DE PINAVERIO                         50MG CX 20 COMP REV##24,44 
7896112172987##BROMETO DE PINAVERIO                         50MG CX 30 COMP REV##36,65 
7896112172994##BROMETO DE PINAVERIO                         50MG CX 60 COMP REV##73,32 
7891317458843##BROMETO DE ROCURONIO                         10MG SOL INJ 12 FA X 5ML##343,47 
7898487600706##BROMETO DE ROCURONIO                         10MG/ML SOL INJ CX 10FA X 5ML EMB HOSP##286,92 
7896004728643##BROMETO PINAVERIO                            100MG  CX 2BL X 15 COMP##37,92 
7894916145947##BROMETO PINAVERIO                            100MG 2 BLT X 15 COMP REV##37,92 
7896004728636##BROMETO PINAVERIO                            100MG 2BL X 15 COMP REV##37,92 
7896004743851##BROMETO PINAVERIO                            100MG 4BL X 15 COMP REV##60,20 
7896004743868##BROMETO PINAVERIO                            100MG CX 4BL X 15 COMP##60,20 
7899095235854##BROMEXPEC                                    0,8MG/ML XPE FR 120ML INF##9,94 
7899095235823##BROMEXPEC                                    1,6MG/ML XPE FR 120ML ADU##12,05 
7898146820759##BROMIDRATO CITALOPRAM                        20 MG CT 2 BL X14 COM REV##54,27 
7894916144414##BROMIDRATO DE CITALOPRAM                     20MG CX 2BL X 14 COMP REV##57,93 
7896004731186##BROMIDRATO DE CITALOPRAM                     20MG CX 2BL X 15 COMP REV##72,37 
7898361881856##BROMIDRATO DE CITALOPRAM                     20MG CX 14 COMP REV##29,21 
7898361884475##BROMIDRATO DE CITALOPRAM                     20MG CX 140 COMP REV EMB HOSP##292,04 
7898361881863##BROMIDRATO DE CITALOPRAM                     20MG CX 28 COMP REV##36,42 
7898361884482##BROMIDRATO DE CITALOPRAM                     20MG CX 280 COMP REV EMB HOSP##584,07 
7898361884499##BROMIDRATO DE CITALOPRAM                     20MG CX 560 COMP REV EMB HOSP##1.168,14 
7898361881849##BROMIDRATO DE CITALOPRAM                     20MG CX 7 COMP REV##15,01 
7896004710013##BROMIDRATO DE FENOTEROL                      5MG SOL FR 20ML##2,81 
7898148294008##BROMIDRATO DE FENOTEROL                      5MG SOL OR CX 200 FR GOT X 20ML HOSP##403,32 
7898148293995##BROMIDRATO DE FENOTEROL                      5MG/ML SOL OR FR GTS 20ML##2,79 
7896112147985##BROMIDRATO DE FENOTEROL                      5MG SOL OR FR 20ML+CGT##2,82 
7896714270197##BROMIFEN                                     5MG SOL FR GTS 20ML##9,80 
7898060133164##BROMOPRIDA                                   1MG/ML SOL OR FR X 120ML##12,40 
7898060133164##BROMOPRIDA                                   1MG/ML SOL OR FR X 120ML+COP##12,40 
7899547502527##BROMOPRIDA                                   10MG CX 120 COMP EMB FRAC##80,57 
7894916145800##BROMOPRIDA                                   10MG CX 20 CAP##12,66 
7898148298587##BROMOPRIDA                                   10MG CX 20 COMP##14,25 
7896004727882##BROMOPRIDA                                   10MG CX 2BL X 10 CAP##13,98 
7896004727899##BROMOPRIDA                                   10MG CX 2BL X 10 CAP##12,33 
7898148298600##BROMOPRIDA                                   10MG CX 800 COMP HOSP##300,33 
7896112115380##BROMOPRIDA                                   4MG SOL FR GTS 20ML##11,52 
7896714208480##BROMOPRIDA                                   4MG SOL OR GTS 20ML##11,65 
7896004701233##BROMOPRIDA                                   4MG SOL ORAL FR 20ML##11,04 
7896004716497##BROMOPRIDA                                   4MG SOL ORAL FR 20ML##9,39 
7894916143479##BROMOPRIDA                                   4MG SOL ORAL FR 20ML##9,95 
7898148298730##BROMOPRIDA                                   4MG/ML SOL OR CX 200 FR GOT X 20ML HOSP##530,08 
7898060133195##BROMOPRIDA                                   4MG/ML SOL OR FR GOT 20 ML##9,73 
7896006232711##BROMOPRIDA                                   4MG/ML SOL OR FR GTS 20ML##12,14 
7898148298747##BROMOPRIDA                                   4MG/ML SOL OR FR GTS 20ML##12,61 
7896422507158##BROMOPRIDA                                   10MG CX 20 CAP##13,99 
7896181912422##BROMOPRIDA                                   1MG SOL OR FR GTS 120ML+CM##13,84 
7896422505598##BROMOPRIDA                                   4MG SOL OR FR GTS 20ML##10,98 
7896181913306##BROMOPRIDA                                   4MG SOL ORAL FR GTS 20ML##10,61 
7896006232667##BROMOPRIDA                                   5MG/ML SOL INJ 50AMP X 2ML  EMB HOSP##117,82 
7898148298594##BROMOPRIDA                                   10MG CX 200 COMP HOSP##75,41 
7898917593486##BROMOPRIDA                                   4MG SOL OR FR 20ML##9,23 
7891317466657##BROMOPRIDA                                   4MG SOL OR FR GTS 20ML##10,91 
7898917593509##BROMOPRIDA                                   4MG/ML SOL OR CX 48 FR X 20ML HOSP##453,56 
7898917593516##BROMOPRIDA                                   4MG/ML SOL OR CX 96 FR X 20ML HOSP##906,71 
7895296210744##BROMOPRIDA                                   4MG/ML SOL ORAL FR 20ML+CGT##9,33 
7898208149835##BROMOPRIDA                                   5MG/ML SOL INJ CX 50 AMP X 2ML EMB HOSP##117,80 
7896242150329##BROMUC                                       100MG SOL INJ 5AMP X 3ML##12,93 
7896242150336##BROMUC                                       100MG SOL INJ CX 100 AMP X 3ML##218,73 
7896014655076##BROMUC                                       100MG/ML SOL INJ C/ 5 AMPX3ML##14,54 
7896014655083##BROMUC                                       100MG/ML SOL INJ CX 100 AMPX3ML##245,84 
7893736011081##BRONCATAR                                    8MG/5ML  FR 120ML##11,66 
7896641804823##BRONCHO VAXOM                                3,5MG INFANTIL - CAPS CART C/ 10##31,79 
7896641804113##BRONCHO VAXOM                                3,5MG PO GRAN CX 10 SACHES##30,42 
7896641804120##BRONCHO VAXOM                                3,5MG PO GRAN CX 30 SACHES##91,24 
7896641804830##BRONCHO VAXOM                                7,0MG ADULTO - CAPS CART C/ 10##47,06 
7896641804106##BRONCHO VAXOM                                7MG PO LIOF CX 30 CAP GEL##135,16 
7896006259855##BRONCOCILIN                                  0,48+20MG/ML SOL OR FR 120ML##8,82 
7896472504961##BRONCOFEDRIN                                 FR 100ML+CD##4,25 
7896082900078##BRONCOFENIL                                  XAROPE 100ML##20,89 
7897322701332##BRONCOFLUX                                   3MG XPE FR 120ML PED##15,28 
7897322701325##BRONCOFLUX                                   6MG XPE FR 120ML ADU##25,04 
7896004710532##BRONCOLEX                                    25MG/5ML XPE FR 120ML INF##12,76 
7896004710549##BRONCOLEX                                    50MG/5ML XPE FR 120ML ADU##17,36 
7897299900318##BRONCOLITIC                                  20MG XPE FR 100ML##7,55 
7898495603829##BRONCONAL                                    0,4MG/ML XPE FR 120ML+CP MED##6,68 
7896658002113##BRONDILAT                                    10MG XPE FR 120ML+CM ADU##16,47 
7896658012167##BRONDILAT                                    10MG XPE FR 60ML+CM X 10ML##8,22 
7896658002120##BRONDILAT                                    5MG XPE FR 120ML+CM PED##13,80 
7896658012174##BRONDILAT                                    5MG XPE FR 60ML+CM X 10ML##6,00 
7896714227771##BRONDYNEO                                    25MG/5ML XPE INF FR 120ML##17,66 
7896714227788##BRONDYNEO                                    50MG/5ML XPE ADU FR 120ML##23,97 
7898505091011##BRONFILIL                                    25MG/5ML XPE FR 120ML+CM##15,05 
7898505091004##BRONFILIL                                    50MG/5ML XPE FR 120ML+CM##20,41 
7896004743400##BRONQUITOSS                                  XPE FR X 120ML+CM##12,62 
7899095203594##BRONTEK                                      10MG XPE FR 120ML ADU##23,44 
7899095203600##BRONTEK                                      5MG XPE FR 120ML INF##16,83 
7898158691781##BRONXOL                                      3MG/ML XPE FR 120ML PED##13,31 
7898158691774##BRONXOL                                      6MG/ML XPE FR 120ML ADU##20,07 
7896281150045##BROS                                         100MG CX 20 CAP##247,72 
7891058004989##BUCLINA                                      25MG CX 10 COMP##2,99 
7897595900678##BUCLINA                                      25MG CX 20 COMP##5,99 
7891058019365##BUCLINA                                      25MG CX 30 COMP##8,98 
7896360000933##BUCLIPLEX                                    FR 120ML##20,99 
7896360000919##BUCLIPLEX                                    FR 30 COMP REV##22,00 
7896206402037##BUDECORT AQUA                                32MCG SUS NAS FR NEB 120 DOSES##19,10 
7896206402044##BUDECORT AQUA                                64MCG SUS NAS FR NEB 120 DOSES##33,85 
7898940448012##BUFEDIL                                      150MG  CX 20 COMP REV##28,55 
7898940448029##BUFEDIL                                      150MG CX 40 COMP REV##57,11 
7898940448036##BUFEDIL                                      300MG CX 20 COMP REV##57,10 
7896261017795##BUFFERIN                                     500MG CX 30 COMP REV##31,01 
7896261017801##BUFFERIN                                     500MG DISP 50BL X 4 COMP REV##257,28 
7896261017788##BUFFERIN CARDIO                              CARDIO 81MG CX 30 COMP REV##9,64 
7891317421694##BUONA                                        150MG CX 10 CAP##20,79 
7891317421687##BUONA                                        150MG CX 30 CAP##62,54 
7891317438944##BUP                                          150MG BL X 60 COMP##119,14 
7891317473723##BUP                                          150MG CX 12 COMP##22,39 
7891317438937##BUP                                          150MG CX 30 COMP##61,74 
8902344419161##BUPICAN                                      5MG/ML SOL INJ CX 1AMP X 4ML##6,39 
8902344419147##BUPICAN                                      5MG/ML SOL INJ CX 50 AMP VD INC X 4 ML##297,55 
8902344420112##BUPICAN                                      5MG/ML SOL INJ CX FA X 20ML##19,39 
7894916508568##BUPIUM                                       150MG CX 10 COMP REV##19,73 
7894916507981##BUPIUM                                       150MG CX 30 COMP REV##51,79 
7894916507998##BUPIUM                                       150MG CX 60 COMP REV##82,85 
7896004746814##BUPOGRAN                                     150MG CX 10 COMP REV##13,13 
7896004733081##BUPOGRAN                                     150MG CX 30 COMP REV##41,23 
7896004733098##BUPOGRAN                                     150MG CX 60 COMP REV##78,82 
7896472505975##BUPROVIL                                     20MG/ML SUSP ORAL FR100ML##12,51 
7896472503209##BUPROVIL                                     300MG 600 COMP EMB HOSP##325,17 
7896472513284##BUPROVIL                                     300MG CX 20 COMP##9,44 
7896472505531##BUPROVIL                                     300MG CX 200 COMP E.M##96,22 
7896472502769##BUPROVIL                                     300MG CX 30 COMP##12,88 
7896472503261##BUPROVIL                                     50MG/ML FR GTS 30ML##12,73 
7896472513307##BUPROVIL                                     600MG CX 20 COMP##15,31 
7896472502776##BUPROVIL                                     600MG CX 30 COMP##20,89 
7896472503216##BUPROVIL                                     600MG CX 600 COMP REV##465,41 
7896472503247##BUPROVIL                                     SUSP OR 20 MG/ML FR100 ML##11,79 
7896006247593##BUPSTESIC                                    0,50% SOL INJ 6FA X 20ML EMB HOSP##111,38 
7896006204534##BUPSTESIC                                    5,0+0,0091MG/ML SOL INJ 6FA X 20ML C/VASO##107,72 
7896255766708##BURINAX                                      1MG CX 20 COMP##9,18 
7896026305235##BUSCODUO                                     10+500MG CX 120 COMP REV E.M.##83,58 
7795304000056##BUSCODUO                                     10+500MG CX 20 COMP REV##13,94 
7896026303002##BUSCOFEM                                     400MG CX 10 CAP##12,08 
7896026304023##BUSCOFEM                                     400MG CX 50 CAP BL C/ 2 E.M.##64,70 
7896026300308##BUSCOPAN                                     10MG CX 20 DR##8,60 
7896026300315##BUSCOPAN                                     10MG SOL FR 20ML##9,29 
